"","Building Address","Year Built"
"742","48 STOCKTON ST",1909
"743","2323 Sacramento St",1965
"744","690 FOLSOM ST",1926
"745","1469 PACIFIC AVE",1921
"746","624 TAYLOR ST",1934
"747","466 GEARY ST",1922
"748","4767 MISSION ST",1935
"749","606 HOWARD ST",1904
"750","495 JEFFERSON ST",1907
"751","5644 GEARY BLVD",1931
"752","1833 FILLMORE ST",1916
"753","1695 MISSION ST",1951
"754","1401 HOWARD ST",1902
"755","1699 VAN NESS AVE",1919
"756","1263 MISSION ST",1924
"757","1395 EVANS AVE",1941
"758","20 CALIFORNIA ST",1908
"759","1600 JACKSON ST",1908
"760","625 TOWNSEND ST",2002
"761","499 JACKSON ST",1965
"762","1142 VAN NESS AVE",1909
"763","748 MISSION ST",1900
"764","180 MONTGOMERY ST",1978
"765","122 15TH ST",1947
"766","1233 VAN NESS AVE",1913
"767","188 EMBARCADERO",1986
"768","691 MARKET ST",1909
"769","345 WILLIAMS AVE",1964
"770","1595 SLOAT BLVD",1993
"771","20 HERON ST",1931
"772","644 BROADWAY",1985
"773","2587 Marin Street",1986
"774","750 POST ST",1914
"775","1015 GEARY ST",1925
"776","135 POST ST",1908
"777","522 2ND ST",1923
"778","625 3RD ST",1909
"779","160 FOLSOM ST",1951
"780","444 MARKET ST",1981
"781","1065 COLUMBUS AVE",1976
"782","450 GEARY ST",1922
"783","1100 MARKET ST",1909
"784","550 15TH ST",1906
"785","562 SUTTER ST",1907
"786","2775 VAN NESS AVE",1972
"787","750 KEARNY ST",1970
"788","2001 BRYANT ST",1943
"789","4610 MISSION ST",1963
"790","580 YORK ST",1918
"791","1445 BUSH ST",1915
"792","55 5TH ST",1913
"793","101 2ND ST",2000
"794","383 RHODE ISLAND ST",1924
"795","351 9TH ST",1929
"796","38 TEHAMA ST",0
"797","400 2ND ST",1917
"798","234 STOCKTON ST",1908
"799","74 OTIS ST",1916
"800","1320 VAN NESS AVE",1909
"801","330 TOWNSEND ST",1985
"802","3490 SACRAMENTO ST",1977
"803","40 GOLD ST",1910
"804","3146 MISSION ST",1949
"805","34 MASON ST",1907
"806","2576 LOMBARD ST",1940
"807","1425 FOLSOM ST",1936
"808","2020 MARKET ST",1954
"809","100 BATTERY ST",1956
"810","205 Franklin Street",2013
"811","120 STOCKTON ST",1974
"812","6221 GEARY BLVD",1969
"813","899 HOWARD ST",1920
"814","240 SHOTWELL ST",1938
"815","700 VAN NESS",0
"816","1600 STOCKTON ST",1927
"817","444 PRESIDIO AVE",1962
"818","550 GEARY ST",1929
"819","3185 WASHINGTON ST",1921
"820","700 7TH ST",1905
"821","444 TOWNSEND ST",1923
"822","667 MISSION ST",1909
"823","601 MARKET ST",1917
"824","101 HOWARD ST",1968
"825","2435 CALIFORNIA ST",1941
"826","1301 MARKET ST",1937
"827","726 SUTTER ST",0
"828","1075 California St",1924
"829","511 HARRISON ST",1930
"830","850 MONTGOMERY ST",1970
"831","2601 MISSION ST",1962
"832","188 SPEAR ST.",1973
"833","1620 MONTGOMERY ST",1907
"834","642 HARRISON ST",1925
"835","901 MARKET ST",1912
"836","544 GOLDEN GATE AVE",1911
"837","617 MISSION ST",1908
"838","361 BRANNAN ST",1928
"839","1515 SLOAT BLVD",1992
"840","1700 OWENS ST",2007
"841","645 HARRISON ST",1948
"842","944 FOLSOM ST",1936
