Building Address	Year Built	analysis_neighborhood	supervisor_district
333 BRYANT ST	1920	Financial District/South Beach	6
685 MARKET ST	1906	Financial District/South Beach	6
1825 POST ST	1967	Japantown	5
102 CARDENAS AVE	1942	Lakeshore	7
1180 HOWARD ST	2003	South of Market	6
1089 MARKET ST	1920	South of Market	6
1360 MISSION ST	0	South of Market	6
1828 MARKET ST	2014	Hayes Valley	8
425 BUSH ST	1908	Financial District/South Beach	3
250 STOCKTON ST	1908	Financial District/South Beach	3
1401 MISSION ST	2016	South of Market	6
2707 PINE ST	1969	Pacific Heights	2
2031 IRVING ST	1950	Sunset/Parkside	4
376 BRANNAN ST	1908	Financial District/South Beach	6
1188 FRANKLIN ST	1973	Western Addition	2
600 Fillmore St	1906	Hayes Valley	5
120 KEARNY	1982	Financial District/South Beach	3
625 MONTEREY BLVD	1942	West of Twin Peaks	7
553 VALENCIA ST	1907	Mission	9
2741 16TH ST	1942	Mission	9
540 9TH ST	1945	South of Market	6
998 INDIANA ST	1960	Potrero Hill	10
863 BUSH ST	1911	Nob Hill	3
440 VALENCIA ST	1994	Mission	9
250 Broadway	1920	Financial District/South Beach	3
245 MARKET STREET	1929	Financial District/South Beach	6
1625 EDDY ST	1969	Western Addition	5
1896 PACIFIC AVE	1924	Pacific Heights	2
2090 EVANS ST.	1956	Bayview Hunters Point	10
1 BRADY ST	2022	Mission	6
1530 BUCHANAN ST	1935	Western Addition	5
1701 JACKSON ST	2001	Pacific Heights	2
136-138 KING ST	2017	Mission Bay	6
2600 MISSION ST	1920	Mission	9
435 BRANNAN ST	1910	South of Market	6
635 PINE ST	1924	Financial District/South Beach	3
660 3RD ST	1902	South of Market	6
701 POST ST	1910	Tenderloin	3
450 HARRISON ST	1949	Financial District/South Beach	6
1 MARKET ST	1917	Financial District/South Beach	6
57 POST ST	1909	Financial District/South Beach	3
310 TOWNSEND ST	2006	South of Market	6
825 MARKET ST	1908	South of Market	6
300 Gaven St	1960	Portola	9
890 BUSH ST	1919	Nob Hill	3
2200 SACRAMENTO ST	1964	Pacific Heights	2
342 Columbus Ave	1908	North Beach	3
845 MARKET ST	2006	South of Market	6
