"","Street Address","Business Start Date","Location Start Date","DBA Name"
"363","101 Hyde St",2016-08-19,2020-02-03,"Mi Morena LLC"
"364","139 Lucca Dr",2017-06-19,2017-06-19,"Pi Wings"
"365","2031  Powell St",2016-03-02,2016-03-02,"Tia Ampa"
"366","614 Polk Street",2018-03-01,2018-03-01,"R Caffe"
"367","1838 Union St",2018-06-01,2018-06-01,"Kaiyo Restaurant & Bar"
"368","1545 Fillmore St",2017-08-09,2021-02-01,"Kitchen Woori"
"369","1507 Humboldt Ave Apt 4",2016-06-29,2016-06-29,"Uber"
"370","1379 4th St",2019-09-25,2019-11-05,"Crepe Hearts"
"371","900 Stanyan St",2019-09-28,2019-09-29,"Creola"
"372","24 Willie Mays Pl Upper Center Field Sec 142",2018-03-09,2018-04-11,"95253 C & C Concessions/Portable 142 Lemonade Stand"
"373","4054 24th St",2016-01-13,2022-08-18,"Cole Valley Tavern"
"374","692 Sutter St",2016-07-05,2016-07-05,"L'ottavo Ristorante"
"375","1 Mobile Caterers",2019-06-26,2019-07-18,"Vessel Ca Operations LLC"
"376","40 Belden Pl",2017-01-03,2019-11-01,"Pushkin"
"377","1427 Noriega St",2018-04-01,2018-04-01,"Thai Nghiep Ky Mi Gia Restaurant"
"378","330 Gough St",2016-04-28,2016-04-28,"Nightbird"
"379","680 Clay St",2016-07-01,2018-07-01,"Hinodeya Ramen Bar Financial"
"380","55 Cyril Magnin St",2018-11-15,2019-01-09,"Barbary Coast Pastry And Coffee"
"381","3527 Mt Diablo Blvd",2018-06-04,2018-06-04,"Paramount Superstars, Inc."
"382","613 York St",2019-08-30,2019-08-30,"Private Chef Club"
"383","2301 Mission St",2018-11-30,2018-12-05,"Cafe De Olla.SF"
"384","50 Phelan Ave",2017-12-11,2017-12-11,"City Cafe"
"385","1100 Market Street",2017-09-01,2017-09-01,"Charmaine's"
"386","333 O'farrell St",2017-01-02,2017-01-02,"Urban Tavern"
"387","145 Jefferson St Ste 200",2017-01-08,2017-01-08,"Mcdonald's"
"388","3251 20th Ave 250b",2019-03-04,2019-03-04,"Gangnam Bbq"
"389","1799 Church St",2019-01-01,2019-01-01,"Cafe Xo"
"390","1760 Cesar Chavez Ste L",2019-03-27,2020-04-21,"Macho Tacos"
"391","680 Clay St",2016-07-01,2019-06-11,"Hinodeya Ramen Bar Downtown"
"392","1522 6th St Unit A",2016-05-01,2016-05-01,"Doughnut Dolly"
"393","4384 Mission St",2018-05-18,2018-05-18,"Tacos El Faraon"
"394","532 Jessie St",2017-06-01,2017-06-01,"Souvla Catering"
"395","3251 20th Ave",2017-08-31,2017-08-31,"Stonestown Farmers Market"
"396","2018 Lombard St",2020-01-01,2020-01-01,"Alegrias SF"
"397","1221 Fell St",2019-04-22,2019-04-22,"Hahdough LLC"
"398","522 25th Ave Apt 4",2016-10-27,2020-02-12,"Ojala"
"399","150 Waverly Pl",2016-11-18,2016-11-18,"The Spicy Shrimp"
"400","988 El Camino Real Ste 2",2016-06-01,2024-01-31,"Starbird Chicken"
"401","6001 California St",2016-04-30,2016-04-30,"Firehouse Pizzeria"
"402","1629 Florida St",2017-07-03,2017-07-03,"Mumsa, LLC"
"403","475 6th St",2016-06-01,2019-04-07,"Starbird"
"404","335 Kearny St",2017-12-15,2017-12-15,"Foundation Cafe"
"405","298 Pacific",2016-12-13,2016-12-13,"Old Ship"
"406","1954 Union St",2016-01-06,2018-01-01,"The Caviar Collection"
"407","199 New Montgomery St Ste A",2019-08-01,2019-08-01,"Medleno Coffee"
"408","2428 Clement St",2019-04-01,2019-04-01,"8090 Friendship Restaurant"
"409","517 Hayes St",2016-03-30,2016-03-30,"Souvla"
"410","870 Market St",2019-02-06,2019-02-06,"Frutymania"
"411","251 11th St",2019-02-26,2019-02-26,"Nancy's Catering"
"412","101 Hyde St",2018-05-18,2024-04-18,"Pass The Sauced, LLC"
"413","1 United Nations Plz",2019-07-15,2021-11-01,"Delightful Foods"
"414","2325 Pine St",2018-12-10,2018-12-10,"Loving Cup Union"
"415","176 2nd St",2019-09-06,2020-01-15,"Sam Choy's Poke To The Max"
"416","250 King St Unit 722",2016-03-29,2016-03-29,"Neem"
"417","88 Collins P Kelley Jr. St Fl 2",2019-02-14,2019-02-14,"Oh My Green@Github"
"418","1312 Chestnut St",2018-10-01,2018-10-01,"Chestnut Diner"
"419","428 11th St",2019-04-24,2019-04-24,"California Garlic Noodles"
"420","236 Townsend St",2018-10-01,2018-10-29,"Cafe Okawari"
"421","1903 18th Ave",2016-08-01,2017-11-27,"Casera"
"422","3251 20th Ave #250 J",2019-01-18,2019-01-18,"Glo-Wing"
"423","39 Pier Space K-01",2018-08-22,2018-08-22,"The Churro Factory"
"424","489 3rd St",2019-10-21,2020-02-28,"Roma's"
"425","1 Ferry Building 21",2017-10-01,2019-11-21,"Daily Driver"
"426","578 Market St",2016-05-09,2017-12-11,"Cafe X"
"427","4678 Stratford Ave",2016-07-01,2016-07-01,"Pete's Deli Cafe/Bay State Market"
"428","138 Minna Street",2016-04-25,2016-04-29,"Takoba SF"
"429","601 N Mission Bay Blvd",2016-03-16,2017-09-01,"Crepes S'il Vous Plait"
"430","1203 23rd Ave",2017-08-12,2017-08-12,"Eventide Coffee Roasters"
"431","1028 Mission St",2016-06-21,2016-06-21,"Rtr Group Of Holdings Inc"
"432","101 Montgomery St Ste C",2017-09-21,2017-09-21,"Coffee Bar"
"433","5800 Geary St",2018-02-01,2018-02-15,"Amara"
"434","1155 Taraval St",2019-08-30,2024-05-01,"Stix"
"435","314 Church St",2016-03-03,2016-03-03,"Poke Bar"
"436","801 Market St",2019-02-06,2019-02-06,"Chilifruit"
"437","1725 Haight St",2018-04-02,2018-04-02,"Alembic, SF"
"438","2341 Folsom St",2018-10-15,2019-04-29,"Chuy's Fiestas Restaurant"
"439","1131 Taraval St",2016-10-26,2016-10-26,"El Antigua Cafe Corporation"
"440","90 Charter Oak Ave",2017-10-30,2020-08-11,"Pollo Campero"
"441","3318 Fillmore St",2019-04-28,2022-10-31,"Wilder"
"442","4 Embarcadero Center Street Revel Ctr",2018-04-20,2018-04-20,"Stone Korean Kitchen"
"443","700 Greenwich St",2018-02-25,2025-01-08,"Portside Bakery"
"444","605 Kearny St",2016-05-27,2016-05-27,"Ohana Poke And Salad Bar"
"445","3560 18th St",2018-11-07,2022-01-01,"3560 18th Street, San Francisco Ca 94110"
"446","3282 Mission St",2017-09-08,2017-09-08,"Rakiraki Ramen"
"447","3853 24th St",2017-12-01,2017-12-01,"Hi-Way"
"448","1 Ferry Building",2018-10-05,2022-01-06,"Saltwater Bakeshop"
"449","125 Kearney St",2017-05-25,2017-06-29,"Rooster & Rice IIi, LLC"
"450","59 30th St",2019-02-26,2019-02-26,"Shish Ke Baba"
"451","1511 Jackson St Apt 1",2018-01-08,2018-01-08,"Fahhq"
"452","1760 Cesar Chavez Unit L",2017-11-06,2018-07-16,"Xd LLC / Boba Pink"
"453","1233 Van Ness Ave",2016-09-30,2016-09-30,"El Parce"
"454","3560 Taraval St",2019-07-05,2019-07-05,"Boavida"
"455","205 Oak St",2018-11-01,2018-11-01,"Otoro"
"456","1355 Market St Unit 100",2016-10-24,2016-10-24,"Manila Bowl"
"457","1 Market St 3se / 3n",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"458","1381 Florida St",2017-01-01,2017-06-01,"Shuck Truck"
"459","531 Divisadero St",2016-03-30,2016-06-01,"Souvla"
"460","475 6th St",2016-02-23,2019-09-25,"Coast Poke Counter"
"461","415 Mission St Fl 23/24",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"462","420 Judah St",2017-08-01,2018-03-30,"Alice Chinese Bistro"
"463","888 Innes Avenue",2019-02-28,2019-02-28,"Cafe Alma"
"464","350 Friedell St Apt 305",2019-01-10,2019-01-10,"Lerso"
"465","1355 Market St Ste 100",2019-03-25,2022-03-01,"Cabalen Mb Food Group LLC"
"466","3463 16th St",2016-07-11,2016-07-18,"Sofia Cafe"
"467","24 Willie Mays Plaza Plz",2018-03-09,2018-03-09,"C & C Concessions"
"468","1199 Church St",2018-09-11,2018-09-11,"Noe's Cantina Inc"
"469","450 Post 3rd Fl.",2017-05-02,2020-03-01,"Pop Ups Unlimited"
"470","2565 Third St Unit 316",2019-10-17,2019-10-17,"Gourmonade"
"471","468 Castro St",2019-06-10,2019-09-01,"Bhoga"
"472","303 2nd Street",2017-09-28,2018-03-19,"Joe & The Juice"
"473","1910 Fillmore St",2017-04-19,2018-07-01,"Samovar Tea Lounge"
"474","1722 Bay St",2019-07-26,2019-07-26,"Teazzert Pho You"
"475","4827 Mission St",2017-01-10,2017-01-10,"Hawaiian Drive Inn #28"
"476","1566 Carroll Ave",2017-08-29,2017-08-29,"Meat By Pete"
"477","5600 3rd Street 233",2018-08-13,2018-08-13,"The Vegan Hood Chefs LLC"
"478","400 Eddy St",2016-05-04,2016-05-04,"Black Cat"
"479","611 Post St",2018-12-01,2018-12-01,"Joy's Place"
"480","1820 Clement St",2018-02-22,2018-02-22,"Ace King Bbq"
"481","32 6th St",2019-01-01,2019-04-04,"Modena Pizza & Ice Cream"
"482","1735 22nd Ave",2018-09-17,2018-09-17,"Src Food Delivery"
"483","1350 Solano Ave Ave Apt 1",2019-10-07,2019-10-07,"Family Kitchen"
"484","3325 24th St",2018-05-26,2018-05-26,"Mission Coffee"
"485","10 Fishermans Wharf",2018-07-17,2018-07-17,"Zeppelin Seafood"
"486","1230 Market St",2016-05-17,2025-02-07,"Haru By Sams"
"487","383 Gellert Blvd",2018-10-01,2018-10-01,"Moonstar Buffet Restaurant"
"488","301 Mission St Apt 7f",2019-10-14,2019-10-14,"Shabakes"
"489","303 2nd Street Plz",2016-08-31,2016-08-31,"Rooster & Rice Too, LLC"
"490","2291 3rd St",2018-06-08,2018-06-08,"Happy Cow Creamery & Tea"
"491","101 Broadway",2019-06-08,2020-07-10,"Poppy Bagels"
"492","2356 Palo Verde Ave",2017-03-24,2017-03-24,"Cielito Lindo Msk"
"493","670 Monterey Blvd Apt 7",2018-07-01,2018-07-01,"Frank Grizzly's"
"494","174 Coleridge Green",2018-05-17,2018-05-17,"3 Bottled Fish"
"495","39 Pier D-13",2017-07-01,2017-11-16,"Doughp"
"496","2419 3rd St",2018-09-19,2018-09-19,"Ungrafted"
"497","2389 Mission St",2018-08-17,2018-08-17,"Boom Chicka Cow"
"498","475 6th St",2019-04-01,2019-04-01,"Cooklines Inc."
"499","1201 4th St",2019-09-13,2021-12-16,"Insomnia Cookies"
"500","1919 Ocean Ave",2016-06-21,2016-06-21,"Joyful Yummy, Inc"
"501","601 Grant Ave",2018-04-25,2018-08-10,"Wok + Steam"
"502","700 Grant Ave",2018-05-24,2018-05-24,"Goood Fortune LLC."
"503","3092 16th St",2019-05-30,2019-05-30,"Farming Hope"
"504","2184 Union Street",2018-06-20,2018-06-20,"Little Gem"
"505","9 Cielito Dr",2019-01-28,2019-01-28,"Aj Corn"
"506","199 New Montgomery St A",2017-01-30,2017-01-30,"District Coffee"
"507","4036 Balboa Street",2019-11-08,2019-11-08,"Ej Sushi"
"508","3608 Balboa St",2019-03-14,2019-03-14,"Uncle Lee Cafe"
"509","2331 Mission St",2017-05-01,2017-05-01,"Cease & Desist"
"510","3233 E 22nd Street St",2019-07-04,2019-07-04,"Hsb/Hot Sauce Brand"
"511","1 Warriors Way",2019-09-20,2019-09-20,"Candlestick Pizza"
"512","2240 Chestnut St",2018-12-12,2018-12-12,"Elemental Poke"
"513","74 Crestline Dr Apt 6",2016-07-01,2017-04-15,"Crystal Pyramid LLC"
"514","66 Corwin St Apt 5",2016-12-30,2016-12-30,"Good Moods LLC"
"515","845 Malcolm Rd Ste 3",2016-04-25,2016-04-25,"Bevi"
"516","1223 Kearny 1",2017-06-18,2017-06-18,"Lena's Backstube"
"517","393 Eddy St",2018-02-05,2018-02-28,"Aladdin Kitchen"
"518","425 Battery St",2017-10-07,2017-10-07,"Subway Sandwiches #61240"
"519","315 Culet Dr",2018-01-01,2018-01-01,"Poke Bar"
"520","1919 Irving St",2018-09-18,2018-09-18,"Oh Dessert Cafe"
"521","2948 Folsom St",2016-08-11,2016-08-11,"El Meson De Violeta"
"522","325 Mason St #10",2017-07-02,2017-08-02,"L And O Bagels"
"523","640 Hayes St",2019-07-16,2019-07-16,"Praetza"
"524","65 Cambon Dr",2016-05-10,2016-05-10,"Poke Kana"
"525","1379 4th St",2018-02-14,2018-05-02,"Parklab Gardens"
"526","1400 7th Street St Ste 900",2017-08-24,2017-08-24,"Purely Mediterranean Inc"
"527","2250 Irving St",2017-09-01,2017-09-01,"Wonder Tea LLC"
"528","3193 Mission St",2018-10-01,2018-10-01,"Cellarmaker House Of Pizza"
"529","700 36th Ave",2018-02-01,2018-03-14,"Taste Of Fusion Kitchen"
"530","500 Marina Blvd",2016-08-31,2022-05-01,"Cochinita"
"531","2778 24th St",2017-10-17,2017-10-17,"Pastry Room"
"532","91 6th St",2017-07-01,2017-07-01,"Jenny's Restaurant"
"533","3560 18th St",2016-07-01,2016-07-01,"Farina Food Service"
"534","1474 Innes Ave",2016-07-07,2016-07-07,"Cafe De La Diaspora"
"535","865 Market St Unit 146",2016-06-14,2016-06-14,"Mission Heirloom"
"536","1581 Webster St Ste 195",2019-05-02,2024-04-02,"Kissako Tea"
"537","3224 22nd St",2018-09-06,2018-09-06,"Pushcart Fare"
"538","908 Ohio Ave",2016-02-06,2016-02-06,"Night & Day Productions"
"539","1015 Fell St Apt B",2017-07-27,2017-07-27,"Baja Stop"
"540","960 Grant Ave",2018-08-24,2018-08-24,"Hong Kong Clay Pot Restaurant"
"541","816 Irving St",2019-09-17,2019-09-17,"Qingshu"
"542","425 Mission St Unit 111",2019-09-25,2019-09-25,"Via Vai By Acquolina"
"543","2948 Folsom St",2019-10-09,2019-10-09,"Bay Harvest Catering"
"544","221 Main St Ste 2",2019-07-15,2019-07-15,"Spreadz Deli LLC"
"545","1994 37th Ave",2019-03-12,2022-01-21,"Sowlbowls"
"546","227 Front St",2017-08-25,2017-08-25,"Bluestone Lane"
"547","2505 3rd St",2017-09-06,2019-04-04,"New Belgium Brewing"
"548","2101 21st Ave",2017-06-26,2017-06-26,"Uncle Joe"
"549","741 Anderson St St",2018-07-26,2018-07-26,"Juice E Juice"
"550","567 Liberty Street",2016-08-15,2016-08-15,"Steep Hill Foods"
"551","58 Bertha Ln",2019-03-01,2019-03-01,"Rome's Kitchen"
"552","700 Clement St",2018-04-16,2018-04-16,"Venus Cafe"
"553","103 Horne Ave",2016-09-21,2017-11-01,"Barranco Catering"
"554","333 Brannan St",2016-03-01,2016-03-01,"Rooh"
"555","1412 Eddington Lane",2017-05-01,2017-05-01,"Alley Pizza And Kabobs"
"556","2948 Folsom St",2017-07-07,2017-07-07,"Butter Brown Bakehouse"
"557","Charter Oak Ave",2017-10-30,2020-08-11,"Pollo Campero"
"558","600 Fell St Apt 403",2018-09-07,2018-09-07,"Peanut Gallery"
"559","5909 Geary Blvd",2018-10-05,2023-06-27,"Saltwater Bakeshop"
"560","900 North Point St K201",2018-07-30,2018-07-30,"The Cheese School"
"561","3520 20th St Ste 1",2017-07-17,2017-07-17,"Candi Me"
"562","73 Diamond St",2016-10-09,2016-10-09,"Diamondkantine"
"563","115 Chianti Pl",2019-01-07,2019-01-07,"Urban Organics, LLC"
"564","1980 Union Street",2019-08-16,2019-08-16,"Dimensions"
"565","1468 Hyde St",2017-03-14,2017-03-14,"Hot Sauce And Panko"
"566","888 Innes Ave",2019-03-21,2019-03-21,"Cafe Alma"
"567","298 Munich St",2019-03-14,2019-03-14,"Mclaren Park Cafe"
"568","1328 18th St",2019-05-17,2019-05-17,"Illegal Burger"
"569","1702 Post St",2018-05-09,2018-05-09,"Sanppo Restaurant"
"570","1500 S Van Ness Ave Ste 100",2017-01-10,2017-01-10,"Rincon Nayarit"
"571","2001 Mcallister St Apt 219",2017-02-01,2017-02-01,"Sergio Wong Contracting"
"572","90 Charter Oak Ave K1",2017-01-13,2020-07-01,"Yosoyceviche LLC"
"573","182 Cayuga Ave",2017-06-19,2017-06-19,"Toasty"
"574","100 Green St",2019-03-22,2019-03-22,"Bunn Mike Inc"
"575","1 The Embarcadero Ave",2019-04-01,2019-04-01,"Something Better Foods"
"576","3251 Peirce St",2018-07-03,2018-07-03,"Poke Reese"
"577","1 Bush St",2017-06-06,2017-06-06,"Fullskoop Inc"
"578","4605 Geary Blvd",2017-04-25,2017-04-25,"Gourmand"
"579","900 E 143rd St",2018-12-19,2018-12-19,"Dat' Ole Louisiana Boy"
"580","173 Wenatchee Common",2019-10-29,2019-10-29,"Ox & Tiger Partners"
"581","167 11th St",2018-07-24,2018-07-25,"Picon"
"582","2169 Mission St",2018-08-14,2018-08-14,"El Arepazo SF"
"583","398 Geary St Bldg",2017-10-16,2017-10-16,"Benjamin Cooper"
"584","The Embarcadero Ste 100",2017-09-14,2017-09-14,"Queen's Louisiana Po-Boy Cafe, LLC"
"585","522 Jones St",2017-07-01,2017-07-01,"Red Chilli"
"586","Ferry Building Ste 50",2016-09-12,2016-09-12,"Lovabowl"
"587","640 Turk St Apt 26",2019-10-28,2019-10-28,"Le Moon Thai Eatery"
"588","1720 Polk St",2019-04-15,2023-11-01,"Bob's Donuts On Polk"
"589","1325 Ocean Ave",2018-08-08,2018-08-08,"Chase Luck Bakery"
"590","900 Folsom St Unit A",2017-02-20,2017-02-20,"Les Gourmands Bakery"
"591","699 Columbus Ave",2019-06-05,2019-08-22,"Kefir Lab"
"592","55 Division St",2018-09-12,2018-09-12,"Udon Time"
"593","1500 S. Van Ness Ave Ste 100",2019-09-23,2019-09-23,"Tacos El Patron"
"594","1215 4th St",2019-09-13,2022-02-16,"Insomnia Cookies"
"595","123 Carmel",2018-08-31,2018-08-31,"Samba Comfort Food"
"596","1707 Powell St",2017-09-22,2017-09-22,"Willi's Coffee & Flowers, LLC"
"597","12 Blackstone Ln",2019-02-28,2019-02-27,"Dba Farley's Cafe"
"598","700 Post St",2019-07-01,2019-07-01,"Beyond Burma"
"599","4054 24th St",2016-01-13,2020-05-05,"The Valley Tavern"
"600","1020 Market St",2017-08-07,2017-08-07,"Dosa Allee"
"601","432 Octavia St",2017-06-01,2019-12-09,"Souvla Catering"
"602","324 Divisadero St",2017-09-26,2017-09-26,"That's My Jam"
"603","2401 Polk St",2017-04-26,2017-04-26,"The New Spot On Polk"
"604","2018 Green St",2018-02-21,2018-02-21,"Alamo Square Cafe"
"605","2301 Clement St",2018-01-29,2018-01-29,"Violet's"
"606","494 Cheney Ave Apt 1",2019-10-16,2019-10-16,"Bishulim SF"
"607","3459 Mission Street",2018-07-01,2018-07-01,"Nenas Restaurant"
"608","500 N Treasure Island St",2019-01-21,2019-01-31,"Dream Ice Cream Parlor"
"609","475 6th St Ste K12",2019-04-15,2019-04-19,"The Chicken Lab"
"610","3128 16th St",2016-02-24,2016-09-30,"Katea"
"611","1522 Fillmore St",2016-10-20,2016-10-20,"Tea Key Ta Ca"
"612","865 Market St Ste 497",2018-01-01,2018-03-01,"Cocosueno"
"613","2505 3rd Street",2017-09-06,2017-09-06,"Magnolia Brewing Company"
"614","90 Charter Oak Avenue",2018-07-30,2020-10-23,"Momo Noodle"
"615","133 6th St",2018-12-19,2018-12-19,"Falafelland"
"616","601 Brickell Key Dr Ste 1000",2019-06-26,2019-08-28,"Vessel Ca Operations (#4)"
"617","613 York St",2020-01-01,2020-01-01,"Merchant Roots Annex"
"618","777 S Figueroa St Ste 4100",2019-01-07,2019-01-07,"Kitchen Concept LLC"
"619","555 4th St Apt 841",2016-10-18,2016-10-18,"Avi's Healthytreats"
"620","2109 Chestnut St",2016-06-01,2016-06-01,"Susiecakes Holdings Inc"
"621","82 14th St",2019-07-01,2019-07-01,"Toriman"
"622","1661 Tennessee St Ste 2k",2018-06-07,2023-11-01,"The Cupboard"
"623","3245 Judah St",2018-06-01,2018-06-01,"Caviar Fix"
"624","834 Divisadero St",2017-08-15,2017-08-15,"Che Fico Alimentari"
"625","601 Mission Bay N. Blvd",2018-11-05,2018-11-05,"Wicked Star"
"626","321 W Portal Ave Ste A",2018-07-09,2018-07-18,"L'amour De Saigon"
"627","5130 Mission St",2017-03-01,2019-03-04,"Geneva Steak House"
"628","235 Montgomery St Ste 600",2016-12-16,2017-09-18,"Borsch Mobile"
"629","2815 Pine St",2019-07-01,2019-07-01,"Burgdirect, LLC"
"630","1010 16th Street Apt 626",2019-07-10,2019-07-10,"Nazanin Rmezani"
"631","103 Horne Ave",2019-06-30,2019-07-28,"Automat LLC"
"632","2327 Mission St",2016-08-26,2016-08-26,"Cha Cha Cha"
"633","340 O'farrell St",2016-12-29,2016-12-29,"The Halal Guys"
"634","466 Eddy St",2016-08-17,2016-08-17,"Onsen"
"635","2030 Lombard St",2018-06-01,2024-06-10,"Rendezvous"
"636","1318 18th St",2016-10-31,2016-10-31,"Blooms Bar"
"637","827 Goettingen St",2016-04-01,2016-04-01,"Linda Choiyin Ancajima"
"638","366 Columbus St",2019-01-01,2019-01-01,"Buster's Cheese Steak"
"639","Term San Francisco International",2018-10-23,2024-06-19,"Pronto"
"640","84 Bartlett St",2016-05-27,2018-03-05,"Hummus Heaven"
"641","1098 Sutter St",2019-01-08,2019-01-08,"Yemen Cafe"
"642","205 Hugo St",2018-04-11,2018-04-11,"Yo Tambien Cantina"
"643","3861 24th",2018-01-30,2018-02-09,"Roti"
"644","1506 N Russell N Ave Apt B",2017-07-10,2017-07-10,"Chatz Jr. Burgers"
"645","1176 Alemany Blvd",2016-12-01,2016-12-01,"Quality Company"
"646","990 Nw 166 St",2016-07-07,2016-07-07,"Dba Gilly Vending Inc"
"647","3251 20th Ave",2018-05-01,2022-08-29,"Porchetta Toscana"
"648","1007 Anza St",2018-02-11,2018-02-11,"Chakraw"
"649","3378 18th St",2018-07-11,2018-07-11,"Ramenwell"
"650","21 Clarence Pl 301",2018-10-05,2018-10-05,"Saltwater Bakeshop"
"651","415 Mission St",2017-12-27,2019-03-13,"Aramark Rfs At Salesforce"
"652","562 Sutter St",2018-12-11,2018-12-11,"Bluestone Lane"
"653","515 Broadway",2019-09-19,2019-09-26,"Le Petit Paris 75"
"654","660 4th St Ste 328",2018-02-08,2018-02-08,"Kc Catering And Events Management"
"655","3620 19th St Unit 11",2016-04-01,2016-04-01,"Barzotto"
"656","431 Columbus Ave",2017-08-30,2018-06-11,"Barbara Pinseria & Cocktail Bar"
"657","350 Mission St Fl 5/6",2017-12-27,2019-03-14,"Aramark Rfs At Salesforce"
"658","2948 Folsom St",2018-07-17,2018-07-17,"Pinky And Reds"
"659","205 Frederick St A",2019-07-08,2019-10-31,"Porkie"
"660","216 Harvard Rd",2019-02-01,2019-02-01,"Amici's East Coast Pizzeria"
"661","522 Jones St",2018-06-01,2018-06-01,"Red Chilli"
"662","135 4th Street Fc7",2019-07-01,2020-12-01,"Rolling Thai"
"663","1140 Holloway Ave",2017-11-11,2017-11-11,"Alfonso Bonilla"
"664","2623 San Bruno Ave",2019-03-20,2019-03-20,"Ramen House Inc"
"665","822 Irving St",2019-07-24,2022-08-30,"Inle Burmese Cuisine"
"666","5100 3rd St",2016-04-22,2016-04-22,"Jj Fish Chicken"
"667","38 Teddy Ave",2018-12-19,2019-02-25,"Twirl And Dip"
"668","2170 Bryant St",2016-02-10,2021-09-01,"San Ho Won"
"669","1661 Tennessee St",2018-03-01,2021-02-01,"Schilling & Co."
"670","700 Polk St",2019-01-10,2019-05-15,"Son & Garden @ Farmhouse Kitchen"
"671","103 Horne Ave",2017-09-22,2018-04-02,"Herb'n Vegan"
"672","95 Third St",2017-04-07,2017-04-07,"Oren's Hummus Sf1 LLC"
"673","3369 Mission St.",2017-01-05,2017-01-05,"Ichi Sushi"
"674","4238 18th Street",2018-10-09,2018-10-09,"Naan N Curry Castro"
"675","103 Horne Ave",2019-03-28,2019-06-18,"Tiger Dog"
"676","1916 Irving St",2016-08-30,2016-01-01,"Tpumps Inc"
"677","2136 Union ` St",2018-08-17,2020-04-17,"Boom Chicka Cow"
"678","2071 3rd St",2016-07-16,2016-08-15,"The Boba Shop"
"679","1518 Irving St",2018-02-06,2018-02-06,"Teapenter"
"680","138 6th St",2019-03-12,2019-03-12,"Sowl Bowls Thai Street Food"
"681","77 Jefferson St",2018-06-18,2018-06-18,"Fire And Brew"
"682","6275 3 Rd St",2018-10-01,2018-10-01,"Olivia   Perez"
"683","601 Mission Bay N Blvd",2017-10-17,2024-04-12,"J & D's Bbq"
"684","220 Golden Gate Ave Apt 429",2018-04-10,2018-04-10,"Lisa A Cook"
"685","882 Sutter St",2018-12-15,2018-12-15,"Chisme Cantina"
"686","3338 24th St.",2019-09-19,2019-09-19,"Beloved Cafe LLC"
"687","160 Broadway",2017-09-10,2017-09-10,"Subway Sandwiches #53761"
"688","2325 Pine St",2018-12-10,2018-12-10,"Loving Cup Divisadero"
"689","3801 24th St",2018-01-12,2018-01-12,"Happy Donuts"
"690","151 Warriors Way Ste 105",2018-08-27,2024-08-09,"Kayah By Burma Love"
"691","24 Willie Mays Pl Promenade Lvl Sec 103",2018-03-09,2018-03-22,"95303 C & C Concessions/Portable 103 Lemonade Snack Cart"
