"","Building Address","Year Built","analysis_neighborhood","supervisor_district"
"2026","300 BUCHANAN ST",1931,"Hayes Valley",5
"2027","1 STONESTOWN MALL",1951,"Lakeshore",7
"2028","1201 MARKET ST",1964,"South of Market",6
"2029","50 CHURCH ST",1905,"Hayes Valley",8
"2030","1520 STOCKTON ST",1926,"North Beach",3
"2031","301 BRANNAN ST",1909,"Financial District/South Beach",6
"2032","545 POST ST",1913,"Tenderloin",3
"2033","358 PINE ST",1928,"Financial District/South Beach",3
"2034","720 YORK ST",1999,"Mission",9
"2035","735 7TH AVE",2008,"Inner Richmond",1
"2036","505 MONTGOMERY ST",0,"Chinatown",3
"2037","788 Harrison St",2000,"South of Market",6
"2038","1660 VAN NESS AVE",1911,"Nob Hill",3
"2039","1125 Mission St",1927,"South of Market",6
"2040","580 MCALLISTER ST",1912,"Western Addition",5
"2041","1710 15TH ST",2007,"Mission",9
"2042","3445 GEARY BLVD",2001,"Lone Mountain/USF",2
"2043","211 SUTTER ST",1907,"Financial District/South Beach",3
"2044","160 BAY ST",1968,"North Beach",3
"2045","1630 Pacific Ave",NA,"Russian Hill",3
"2046","75 INDUSTRIAL ST",1956,"Bayview Hunters Point",10
"2047","3040 LARKIN ST",1925,"Russian Hill",2
"2048","333 BAKER ST",1908,"Lone Mountain/USF",5
"2049","1455 STOCKTON ST",1929,"Chinatown",3
"2050","251 POST ST",1908,"Financial District/South Beach",3
"2051","4050 19TH AVE",1993,"Oceanview/Merced/Ingleside",11
"2052","101 VALLEJO ST",1906,"Financial District/South Beach",3
"2053","2000 POST ST",NA,"Japantown",5
"2054","28 Pier",1900,"Financial District/South Beach",6
"2055","2200 LEAVENWORTH ST",1928,"Russian Hill",3
"2056","859 JAMESTOWN AVE",NA,"Bayview Hunters Point",10
"2057","1201 GOLDEN GATE AVE",1980,"Western Addition",5
"2058","81 LANSING ST",1995,"Financial District/South Beach",6
"2059","2000 CHESTNUT ST",1927,"Marina",2
"2060","301 CARL ST",1927,"Inner Sunset",8
"2061","51 FEDERAL ST",1923,"Financial District/South Beach",6
"2062","703 MARKET ST",1908,"Financial District/South Beach",6
"2063","560 MISSION ST",2002,"Financial District/South Beach",6
"2064","1930 MARKET ST",1954,"Hayes Valley",8
"2065","155 5TH ST",1973,"South of Market",6
"2066","10 UNITED NATIONS PLZ",1982,"Tenderloin",5
"2067","1101 Connecticut St",NA,"Bayview Hunters Point",10
"2068","3540 Geary Blvd",1955,"Presidio Heights",2
"2069","140 9TH ST",1933,"South of Market",6
"2070","459 FULTON ST",1969,"Hayes Valley",5
"2071","650 DELANCEY ST",1996,"Financial District/South Beach",6
"2072","1296 Shotwell St",1948,"Mission",9
"2073","575 6TH ST",1956,"South of Market",6
"2074","111 CAMBON DR",1949,"Lakeshore",7
"2075","111 JONES ST",1993,"Tenderloin",5
"2076","1398 BRYANT ST",1900,"Mission",9
"2077","1717 MISSION ST",1952,"Mission",9
"2078","67 5TH ST",1923,"South of Market",6
"2079","225 BUSH ST",1921,"Financial District/South Beach",3
"2080","520 WASHINGTON ST",1940,"Chinatown",3
"2081","350 CHURCH ST",1981,"Castro/Upper Market",8
"2082","124 SPEAR ST",1918,"Financial District/South Beach",6
"2083","100 SPEAR ST",1985,"Financial District/South Beach",6
"2084","2071 3RD ST",2008,"Potrero Hill",10
"2085","300 Toland St",1968,"Bayview Hunters Point",10
"2086","524 SUTTER ST",1914,"Nob Hill",3
"2087","150 POST ST",1908,"Financial District/South Beach",3
"2088","1600 Owens St",NA,"Mission Bay",6
"2089","965 CLAY ST",1932,"Chinatown",3
"2090","2025 MCKINNON AVE",1967,"Bayview Hunters Point",10
"2091","320 CLEMENTINA ST",2007,"South of Market",6
"2092","1600 VAN NESS AVE",1913,"Nob Hill",3
"2093","1601 MARIPOSA ST",2020,"Potrero Hill",10
"2094","100 HOOPER ST",2018,"Mission Bay",6
"2095","435 PACIFIC AVE",2002,"Chinatown",3
"2096","838 GRANT AVE",1966,"Chinatown",3
"2097","333 EUCALYPTUS DR",1953,"Lakeshore",4
"2098","11 BUCARELI DR",1942,"Lakeshore",7
"2099","55 9TH ST",2014,"South of Market",6
"2100","405 JACKSON ST",1853,"Chinatown",3
"2101","945 MARKET ST",0,"South of Market",6
"2102","360 3RD ST",1976,"South of Market",6
"2103","160 SANSOME ST",1965,"Financial District/South Beach",3
"2104","50 CHUMASERO DR",NA,"Lakeshore",7
"2105","188 KING ST",2006,"Mission Bay",6
"2106","1335 WEBSTER ST",1983,"Western Addition",5
"2107","1400 BAKER ST",1943,"Japantown",5
"2108","100 THE EMBARCADERO",1889,"Financial District/South Beach",6
"2109","827 STOCKTON ST",1914,"Chinatown",3
"2110","2455 Golden Gate Ave",1921,"Lone Mountain/USF",1
"2111","27 Pier",1900,"Financial District/South Beach",3
"2112","348 PINE ST",1907,"Financial District/South Beach",3
"2113","19 PIER",1900,"Financial District/South Beach",3
"2114","333 Valencia St",1919,"Mission",9
"2115","1625 POST ST",0,"Japantown",5
"2116","5600 3rd St",2009,"Bayview Hunters Point",10
"2117","679 3RD ST",1906,"Financial District/South Beach",6
"2118","600 MONTGOMERY ST",1971,"Chinatown",3
"2119","995 MARKET ST",1908,"South of Market",6
"2120","600 HARRISON ST",1989,"Financial District/South Beach",6
"2121","140 CASHMERE ST",1973,"Bayview Hunters Point",10
"2122","54 MINT ST",1907,"South of Market",6
"2123","601 CALIFORNIA ST",1960,"Financial District/South Beach",3
"2124","70 Pier, Bldg # 2",1941,"Potrero Hill",10
"2125","679 CLAY ST",1909,"Chinatown",3
"2126","1707 MARKET ST",1955,"Mission",6
"2127","801 SILVER AVE",1927,"Portola",9
"2128","1010 SOUTH VAN NESS AVE",1998,"Mission",9
"2129","1100 GOUGH ST",1964,"Western Addition",2
"2130","3 MASONIC AVE",1900,"Presidio Heights",2
"2131","901 VAN NESS AVE",1926,"Western Addition",2
"2132","401 SANSOME ST",1906,"Chinatown",3
"2133","301 MISSION ST",2009,"Financial District/South Beach",6
"2134","1243 VAN NESS AVE",1913,"Western Addition",2
"2135","4700 GEARY BLVD",1921,"Inner Richmond",1
"2136","499 ILLINOIS ST",2008,"Mission Bay",6
"2137","450 TOLAND ST",1969,"Bayview Hunters Point",10
"2138","366 EDDY ST",1908,"Tenderloin",5
"2139","1265 FOLSOM ST",1936,"South of Market",6
"2140","201 Toland St",1965,"Bayview Hunters Point",10
"2141","1550 VAN NESS AVE",1973,"Nob Hill",3
"2142","466 BUSH ST",2007,"Financial District/South Beach",3
"2143","2095 LOMBARD ST",1982,"Marina",2
"2144","1430 BUSH ST",1914,"Nob Hill",3
"2145","629 BUCHANAN ST",1998,"Hayes Valley",5
"2146","215 KING ST",2002,"Mission Bay",6
"2147","1188 MISSION ST",2010,"South of Market",6
"2148","180 NEW MONTGOMERY ST",1920,"Financial District/South Beach",6
"2149","595 MARKET ST",1978,"Financial District/South Beach",6
"2150","1698 POST ST",1979,"Japantown",5
"2151","1023 MISSION ST",1919,"South of Market",6
"2152","650 BUSH ST",1912,"Nob Hill",3
"2153","1212 GEARY BLVD",1945,"Western Addition",2
"2154","1 STOCKTON ST",1973,"Financial District/South Beach",3
"2155","Pier 17, Suite 100",1900,"Financial District/South Beach",3
"2156","225 VALENCIA ST",1907,"Mission",9
"2157","1069 PENNSYLVANIA AVE",1983,"Potrero Hill",10
"2158","130 GEARY ST",1984,"Financial District/South Beach",3
"2159","1810 Harrison St",1924,"Mission",9
"2160","345 TAYLOR ST",1926,"Tenderloin",5
"2161","375 FELL ST",1994,"Hayes Valley",5
"2162","201 8TH ST",1900,"South of Market",6
"2163","1335 4TH St",NA,"Mission Bay",6
"2164","340 BRANNAN ST",1911,"Financial District/South Beach",6
"2165","1091 BUSH ST",1910,"Nob Hill",3
"2166","1340 CLAY ST",1991,"Nob Hill",3
"2167","2324 CHESTNUT ST",1937,"Marina",2
"2168","810 BATTERY ST",2008,"Financial District/South Beach",3
"2169","1201 BRYANT ST",1927,"Mission",6
"2170","2322 LOMBARD ST",1954,"Marina",2
"2171","201 KEARNY ST",1910,"Financial District/South Beach",3
"2172","203 Folsom St",2015,"Financial District/South Beach",6
"2173","25 SANCHEZ ST",1972,"Castro/Upper Market",8
"2174","39 STOCKTON ST",1909,"Financial District/South Beach",3
"2175","1389 UNDERWOOD AVE",1966,"Bayview Hunters Point",10
"2176","1501 NEWHALL ST",1989,"Bayview Hunters Point",10
"2177","1300 BUSH ST",1975,"Nob Hill",3
"2178","468 ELLIS ST",1908,"Tenderloin",5
"2179","3900 Balboa St",1948,"Outer Richmond",1
"2180","645 LEAVENWORTH ST",1913,"Tenderloin",3
"2181","600 ALABAMA ST",1911,"Mission",9
"2182","1 Ferry Building",NA,"Financial District/South Beach",3
"2183","895 GEARY ST",1970,"Tenderloin",5
"2184","654 MISSION ST",2009,"Financial District/South Beach",6
"2185","1348-1380 Bush St",NA,"Nob Hill",3
"2186","180 POST ST",1908,"Financial District/South Beach",3
"2187","333 1ST ST",NA,"Financial District/South Beach",6
"2188","921 HOWARD ST",1924,"South of Market",6
"2189","456 MONTGOMERY ST",1986,"Financial District/South Beach",3
"2190","434 ELLIS ST",1926,"Tenderloin",5
"2191","50 FELL ST",1931,"Tenderloin",6
"2192","1385 CARROLL AVE",1959,"Bayview Hunters Point",10
"2193","3400 LAGUNA ST",1924,"Marina",2
"2194","665 BUSH ST",2000,"Financial District/South Beach",3
"2195","645 BUSH ST",1911,"Financial District/South Beach",3
"2196","2045 EVANS AVE",2002,"Bayview Hunters Point",10
"2197","140 ELLIS ST",1908,"Tenderloin",3
"2198","155 SANSOME ST",1929,"Financial District/South Beach",3
"2199","822 BUCHANAN ST",1975,"Hayes Valley",5
"2200","312 FILLMORE ST",1925,"Hayes Valley",5
"2201","2001 MISSION ST",1916,"Mission",9
"2202","777 DAVIS ST",1927,"Financial District/South Beach",3
"2203","400 CALIFORNIA ST",1907,"Financial District/South Beach",3
"2204","2 HARRISON ST",1925,"Financial District/South Beach",6
"2205","1301 FRANKLIN ST",1995,"Western Addition",2
"2206","2000 3RD ST",2002,"Potrero Hill",10
"2207","2265 LOMBARD ST",1959,"Marina",2
"2208","480 2ND ST",1922,"Financial District/South Beach",6
"2209","208 UTAH STREET",1911,"Mission",6
"2210","2150 Oakdale Ave",1948,"Bayview Hunters Point",10
"2211","868 WASHINGTON ST",1907,"Chinatown",3
"2212","960 COLUMBUS AVE",1984,"North Beach",3
"2213","625 8TH ST",1900,"South of Market",6
"2214","1080 EDDY ST",1929,"Western Addition",2
"2215","470 PACIFIC AVE",1907,"North Beach",3
"2216","1800 MISSION ST",1900,"Mission",9
"2217","1555 GALVEZ AVE",0,"Bayview Hunters Point",10
"2218","300 CALIFORNIA ST",1946,"Financial District/South Beach",3
"2219","1650 OWENS ST",0,"Mission Bay",6
"2220","323 SUTTER ST",1909,"Financial District/South Beach",3
"2221","5200 GEARY BLVD",1966,"Outer Richmond",1
"2222","3110 OCTAVIA ST",1924,"Marina",2
"2223","501 COLUMBUS AVE",1907,"Chinatown",3
"2224","1950 Mission St",NA,"Mission",9
"2225","156 GEARY ST",1907,"Financial District/South Beach",3
"2226","135 Townsend Street",1911,"Mission Bay",6
"2227","1830 HARRISON ST",1906,"Mission",9
"2228","318 SPEAR ST",2008,"Financial District/South Beach",6
"2229","300 GOUGH ST",2000,"Hayes Valley",5
"2230","916 BUCHANAN ST",1972,"Western Addition",5
"2231","2485 MISSION ST",1925,"Mission",9
"2232","243 JEFFERSON ST",1937,"North Beach",3
"2233","1256 MARKET ST",1908,"Tenderloin",6
"2234","711 PACIFIC AVE",1950,"Chinatown",3
"2235","1601 LANE ST",1949,"Bayview Hunters Point",10
"2236","THE EMBARCADERO #0001",NA,"Financial District/South Beach",3
"2237","448 BRYANT ST",1924,"Financial District/South Beach",6
"2238","2276-2282 MARKET ST",1987,"Castro/Upper Market",8
"2239","77 VAN NESS AVE",2009,"Hayes Valley",6
"2240","255 SUTTER ST",1908,"Financial District/South Beach",3
"2241","90 GOUGH ST",2008,"Hayes Valley",6
"2242","934 HOWARD ST",1924,"South of Market",6
"2243","701 SUTTER ST",1910,"Nob Hill",3
"2244","514 MINNA ST",1994,"South of Market",6
"2245","1 MONTGOMERY STREET",1908,"Financial District/South Beach",3
"2246","640 DAVIS ST",1983,"Financial District/South Beach",3
"2247","1760 CESAR CHAVEZ ST",1986,"Bayview Hunters Point",10
"2248","1595 LOMBARD ST",1989,"Marina",2
"2249","740 WASHINGTON ST",1907,"Chinatown",3
"2250","45 PIER - SHED D",1900,"North Beach",3
"2251","167 JESSIE ST",2002,"Financial District/South Beach",6
"2252","1058 HOWARD ST",1927,"South of Market",6
"2253","430 HOWARD ST",2007,"Financial District/South Beach",6
"2254","1301 HARRISON ST",1926,"South of Market",6
"2255","3950 24TH STREET",1968,"Noe Valley",8
"2256","151 10TH ST",1924,"South of Market",6
"2257","22 PEACE PLZ",1971,"Japantown",5
"2258","101 DONAHUE ST",NA,"Bayview Hunters Point",10
"2259","355 11TH ST",1906,"South of Market",6
"2260","101 BARNEVELD AVE",1975,"Bayview Hunters Point",10
"2261","2145 MARKET ST",1949,"Castro/Upper Market",8
"2262","3150 CALIFORNIA ST",1942,"Presidio Heights",2
"2263","1656 CALIFORNIA ST",1968,"Nob Hill",3
"2264","1020 FILLMORE ST",1971,"Western Addition",5
"2265","360 LANGTON ST",1928,"South of Market",6
"2266","800 GREAT HWY",1982,"Outer Richmond",1
"2267","801 Market St",NA,"South of Market",6
"2268","572 FOLSOM ST",1912,"Financial District/South Beach",6
"2269","2155 WEBSTER ST",1900,"Pacific Heights",2
"2270","330 7TH AVE",1949,"Inner Richmond",1
"2271","475 VALENCIA ST",1923,"Mission",9
"2272","2275 BROADWAY",1926,"Pacific Heights",2
"2273","647 MISSION ST",1907,"Financial District/South Beach",6
"2274","500 BUSH ST",1912,"Financial District/South Beach",3
"2275","243 ALABAMA STREET",1925,"Mission",9
"2276","2601 MASON ST",1959,"North Beach",3
"2277","140 7TH ST",1980,"South of Market",6
"2278","230 EDDY ST",1927,"Tenderloin",5
"2279","1990 FOLSOM ST",1963,"Mission",9
"2280","678 MISSION ST",1922,"Financial District/South Beach",6
"2281","833 Bryant St",1987,"South of Market",6
"2282","50 OAK ST",2008,"Hayes Valley",6
"2283","2101 MISSION ST",1916,"Mission",9
"2284","315 BAY ST",1976,"North Beach",3
"2285","701 GOLDEN GATE AVE",1900,"Western Addition",5
"2286","1639 Oak Street",2016,"Haight Ashbury",5
"2287","745 FRANKLIN ST",1953,"Western Addition",2
"2288","1150 THOMAS AVE",1953,"Bayview Hunters Point",10
"2289","500 MONTGOMERY ST",1918,"Chinatown",3
"2290","837 TURK ST",2007,"Western Addition",2
"2291","434 BRANNAN ST",1929,"South of Market",6
"2292","444 DE HARO ST",1927,"Potrero Hill",10
"2293","72 Ellis St",1960,"Financial District/South Beach",3
"2294","154 CAPP ST",1922,"Mission",9
"2295","86 GOLDEN GATE AVE",1918,"Tenderloin",5
"2296","744 MARKET ST",1910,"Financial District/South Beach",3
"2297","447 BATTERY ST",1907,"Chinatown",3
"2298","1400 MISSION ST",NA,"South of Market",6
"2299","1235 HOWARD ST",2000,"South of Market",6
"2300","1170 SACRAMENTO ST",1963,"Nob Hill",3
"2301","111 POWELL ST",1910,"Tenderloin",3
"2302","3320 20TH ST",1920,"Mission",9
"2303","1839 15TH ST",1983,"Mission",8
"2304","1515 PINE ST",1924,"Nob Hill",3
"2305","330 BERRY ST",2009,"Mission Bay",6
"2306","112 7TH ST",1911,"South of Market",6
"2307","1975 MARKET ST",1922,"Mission",8
"2308","1320 MARIN ST",1951,"Bayview Hunters Point",10
"2309","1009 STOCKTON ST",1910,"Chinatown",3
"2310","2400 PACIFIC AVE",1932,"Pacific Heights",2
"2311","1313 ARMSTRONG AVE",1960,"Bayview Hunters Point",10
"2312","20 COSMO PL",1921,"Nob Hill",3
"2313","3065 JACKSON STREET",1917,"Pacific Heights",2
"2314","965 SUTTER ST",1990,"Nob Hill",3
"2315","3201 20TH AVE",0,"Lakeshore",7
"2316","1300 BUCHANAN ST",2001,"Western Addition",5
"2317","1 KEARNY ST",0,"Financial District/South Beach",3
"2318","1740 CESAR CHAVEZ",1986,"Bayview Hunters Point",10
"2319","478 WARREN DR",1975,"Inner Sunset",7
"2320","45 CLEARY CT",NA,"Western Addition",2
"2321","135 KISKA RD",NA,"Bayview Hunters Point",10
"2322","1325 INDIANA ST",2002,"Potrero Hill",10
"2323","300 BEALE ST",1937,"Financial District/South Beach",6
"2324","2400 Noriega St",NA,"Sunset/Parkside",4
"2325","1400 MASON ST",1912,"Chinatown",3
"2326","460 9TH ST",1927,"South of Market",6
"2327","562 MARKET ST",1923,"Financial District/South Beach",3
"2328","140 SANSOME ST",1908,"Financial District/South Beach",3
"2329","1485 BAYSHORE BLVD",1927,"Bayview Hunters Point",10
"2330","480 SUTTER ST",0,"Financial District/South Beach",3
"2331","2298 PACIFIC AVE",NA,"Pacific Heights",2
"2332","235 PINE ST",1991,"Financial District/South Beach",3
"2333","25 RUSSIA AVE",1940,"Excelsior",11
"2334","3543 18TH ST",1906,"Mission",9
"2335","375 BRANNAN ST",1979,"Financial District/South Beach",6
"2336","2600 ARELIOUS WALKER DR",NA,"Bayview Hunters Point",10
"2337","1 DANIEL BURNHAM CT #1",1987,"Western Addition",2
"2338","1620 STOCKTON ST",1936,"North Beach",3
"2339","1150 25TH ST",1967,"Potrero Hill",10
"2340","335 POWELL ST",1904,"Tenderloin",3
"2341","33 TURK ST",2022,"Tenderloin",5
"2342","1450 POST ST",1992,"Japantown",5
"2343","1800 FOLSOM ST",1986,"Mission",9
"2344","731 SANSOME ST",1911,"Chinatown",3
"2345","200 PAUL AVE",1955,"Bayview Hunters Point",10
"2346","979 MARKET ST",1907,"South of Market",6
"2347","611 Second Street",1909,"Financial District/South Beach",6
"2348","3350 MISSION ST",1967,"Bernal Heights",9
"2349","1530 5TH AVE",1950,"Inner Sunset",7
"2350","2222 17TH ST",1961,"Mission",10
"2351","123 TOWNSEND ST",1903,"Mission Bay",6
"2352","96B Pier",1941,"Bayview Hunters Point",10
"2353","1801 WEDEMEYER ST",NA,"Presidio",2
"2354","477 OFARRELL ST",1986,"Tenderloin",5
"2355","2180 POST ST",2000,"Japantown",5
"2356","300 Treat Ave",1908,"Mission",9
"2357","650 EDDY ST",NA,"Tenderloin",5
"2358","3911 ALEMANY BLVD",2002,"Oceanview/Merced/Ingleside",7
"2359","333 Bush Street",1987,"Financial District/South Beach",3
"2360","2213 MARKET ST",1909,"Castro/Upper Market",8
"2361","3855 GEARY BLVD",1917,"Inner Richmond",1
"2362","545 POWELL ST",1909,"Nob Hill",3
"2363","364 9TH ST",1955,"South of Market",6
"2364","826 Van Ness Ave",2009,"Tenderloin",5
"2365","2690 Geary Blvd",1923,"Presidio Heights",2
"2366","144 2ND ST",1908,"Financial District/South Beach",6
"2367","1690 FOLSOM ST",1953,"Mission",6
"2368","246 POST ST",1908,"Financial District/South Beach",3
"2369","900 PENNSYLVANIA AVE",1997,"Potrero Hill",10
"2370","60 BROADWAY",1902,"Financial District/South Beach",3
"2371","1135 DIVISADERO ST",1983,"Western Addition",5
"2372","98 Mission St",1979,"Financial District/South Beach",6
"2373","639 POST ST",1914,"Tenderloin",3
"2374","865 STOCKTON ST",1977,"Chinatown",3
"2375","498 6TH ST",2003,"South of Market",6
"2376","440 GEARY ST",1912,"Tenderloin",3
"2377","5816 MISSION ST",1998,"Outer Mission",11
"2378","160 SPEAR ST",0,"Financial District/South Beach",6
"2379","150 CALIFORNIA ST",2000,"Financial District/South Beach",3
"2380","150 MISSISSIPPI ST",1945,"Potrero Hill",10
"2381","901 MINNESOTA ST",1940,"Potrero Hill",10
"2382","17 POWELL ST",1910,"Tenderloin",3
"2383","2800 3RD ST",1925,"Potrero Hill",10
"2384","3060 16TH ST",1908,"Mission",9
"2385","540 ALABAMA ST",1922,"Mission",9
"2386","945 BATTERY ST",1911,"Financial District/South Beach",3
"2387","923 Folsom Street",1967,"South of Market",6
"2388","35 WOODWARD ST",1907,"Mission",9
"2389","701 PHELPS ST",1954,"Bayview Hunters Point",10
"2390","1177 MARKET ST",2020,"South of Market",6
"2391","472 TOWNSEND ST",1920,"Mission Bay",6
"2392","1301 VAN NESS AVE",1912,"Western Addition",2
"2393","2318 Fillmore St.",1986,"Pacific Heights",2
"2394","577 2ND ST",1923,"Financial District/South Beach",6
"2395","3830 3RD ST",1985,"Bayview Hunters Point",10
"2396","3398 Mission St",1917,"Bernal Heights",9
"2397","25 ESSEX ST",2013,"Financial District/South Beach",6
"2398","706 ELLIS ST",1908,"Tenderloin",5
"2399","1881 BUSH ST",1895,"Pacific Heights",5
"2400","130 SUTTER ST",1917,"Financial District/South Beach",3
"2401","430 TURK ST",1987,"Tenderloin",5
"2402","475 GOUGH ST",2014,"Hayes Valley",5
"2403","830 Eddy St",NA,"Western Addition",2
"2404","2351 Powell St",1968,"North Beach",3
"2405","524 POST ST",1912,"Nob Hill",3
"2406","250 CLAY ST",1967,"Financial District/South Beach",3
"2407","757 MARKET ST",2001,"Financial District/South Beach",6
"2408","101 POLK ST",2016,"Tenderloin",6
"2409","111 Mason St",NA,"Tenderloin",5
"2410","631 OFARRELL ST",1930,"Tenderloin",5
"2411","3200 CALIFORNIA ST",0,"Presidio Heights",2
"2412","838 MARKET ST",1930,"Financial District/South Beach",3
"2413","1754 NORIEGA ST",1946,"Sunset/Parkside",4
"2414","39 DRUMM STREET",1912,"Financial District/South Beach",3
"2415","1275 MINNESOTA ST",1937,"Potrero Hill",10
"2416","1635 DIVISADERO ST",1989,"Japantown",5
"2417","625 2ND ST",1905,"Financial District/South Beach",6
"2418","121 SPEAR ST",1925,"Financial District/South Beach",6
"2419","2050 GALVEZ AVE",1968,"Bayview Hunters Point",10
"2420","1263 HOWARD ST",1936,"South of Market",6
"2421","2201 VAN NESS AVE",1957,"Pacific Heights",2
"2422","1 TAYLOR ST",1922,"Tenderloin",5
"2423","145 JEFFERSON ST.",2000,"North Beach",3
"2424","634 CLAY ST",1912,"Chinatown",3
"2425","301 PINE ST",1909,"Financial District/South Beach",3
"2426","1760 DIAMOND ST",1971,"Noe Valley",8
"2427","1278 MARKET ST",1907,"Tenderloin",6
"2428","169 STEUART ST",1926,"Financial District/South Beach",6
"2429","661 HOWARD ST",1972,"Financial District/South Beach",6
"2430","5420 GEARY BLVD",1923,"Outer Richmond",1
"2431","1244 SUTTER ST",1911,"Nob Hill",3
"2432","3120 Mission Street",1956,"Bernal Heights",9
"2433","1155 4TH ST",2014,"Mission Bay",6
"2434","450 9TH ST",1926,"South of Market",6
"2435","701 8TH ST",2008,"Mission Bay",6
"2436","901 MISSION ST",1924,"South of Market",6
"2437","1215 FELL ST",1909,"Hayes Valley",5
"2438","388 BEALE ST",1937,"Financial District/South Beach",6
"2439","1320 BRYANT ST",2003,"Mission",9
"2440","33 PIER",1900,"North Beach",3
"2441","3400 Cesar Chavez",2009,"Mission",9
"2442","2225 23RD ST",1989,"Potrero Hill",10
"2443","455 VALLEJO ST",1973,"North Beach",3
"2444","639 FRONT ST",1906,"Financial District/South Beach",3
"2445","267 8TH ST",1911,"South of Market",6
"2446","1078 SUTTER ST",2014,"Nob Hill",3
"2447","101 UTAH ST",1957,"Mission",6
"2448","795 FOLSOM ST",1979,"South of Market",6
"2449","888 TENNESSEE ST",1953,"Potrero Hill",10
"2450","2425 GEARY BLVD",1952,"Lone Mountain/USF",2
"2451","601 VAN NESS AVE",1983,"Western Addition",2
"2452","2450 SUTTER ST",1911,"Pacific Heights",2
"2453","66 CLEARY CT",1963,"Western Addition",2
"2454","145 GUERRERO ST",1980,"Mission",9
"2455","1500 16TH ST",1952,"Mission Bay",6
"2456","1530 BUSH ST",1916,"Western Addition",2
"2457","501 CESAR CHAVEZ",0,"Bayview Hunters Point",10
"2458","1563 MISSION ST",1917,"Mission",6
"2459","1900 OAKDALE AVE",1962,"Bayview Hunters Point",10
"2460","111 ELLIS ST",1907,"Tenderloin",3
"2461","275 POST ST",1909,"Financial District/South Beach",3
"2462","3130 20TH ST",1949,"Mission",9
"2463","2101 Sutter St",1987,"Japantown",5
"2464","348 6TH ST",1924,"South of Market",6
"2465","290 Malosi Street",NA,"Visitacion Valley",10
"2466","1616 16TH ST",1912,"Mission Bay",6
"2467","975 Bryant St",1928,"South of Market",6
"2468","735 MONTGOMERY ST",1924,"Chinatown",3
"2469","75 ARKANSAS ST",2017,"Mission Bay",10
"2470","510 SOUTH VAN NESS AVE",1907,"Mission",9
"2471","333 KEARNY ST",1907,"Financial District/South Beach",3
"2472","300 ARBALLO DR",1950,"Lakeshore",7
"2473","150 STOCKTON ST.",0,"Financial District/South Beach",3
"2474","655 Montgomery Street",1984,"Chinatown",3
"2475","33 COLUMBUS AVE",1913,"Chinatown",3
"2476","1045 17TH ST",1900,"Potrero Hill",10
"2477","333 FREMONT ST",2014,"Financial District/South Beach",6
"2478","100 JERROLD AVE",1989,"Bayview Hunters Point",10
"2479","2299 POST ST",1963,"Japantown",5
"2480","579 MARKET ST",1907,"Financial District/South Beach",6
"2481","400-430 California Street",NA,"Financial District/South Beach",3
"2482","781 BEACH ST",1912,"Russian Hill",2
"2483","246 2ND ST",NA,"Financial District/South Beach",6
"2484","1000 SANSOME ST",1904,"Financial District/South Beach",3
"2485","701 BAY SHORE BLVD",1952,"Bayview Hunters Point",10
"2486","545 SANSOME ST",1930,"Chinatown",3
"2487","85 BLUXOME ST",1900,"South of Market",6
"2488","2700 ARELIOUS WALKER DR",NA,"Bayview Hunters Point",10
"2489","984 FOLSOM ST",1928,"South of Market",6
"2490","1736 STOCKTON ST",1907,"North Beach",3
"2491","2295 VALLEJO ST",1975,"Pacific Heights",2
"2492","461 2ND ST",1907,"Financial District/South Beach",6
"2493","555 FULTON ST",2020,"Hayes Valley",5
"2494","10 ROSIE LEE LN",1978,"Bayview Hunters Point",10
"2495","414 MASON ST",1911,"Tenderloin",3
"2496","615 GRANT AVE",1907,"Chinatown",3
"2497","450 SANSOME ST",1967,"Chinatown",3
"2498","5260 DIAMOND HEIGHTS BLVD",1964,"Glen Park",8
"2499","3000 23RD ST",2006,"Mission",9
"2500","749 Toland St",NA,"Bayview Hunters Point",10
"2501","1244 MARKET ST",1906,"Tenderloin",6
"2502","500 SUTTER ST",1914,"Nob Hill",3
"2503","2558 MISSION ST",2014,"Mission",9
"2504","2350 Turk Blvd",1930,"Lone Mountain/USF",1
"2505","1 POWELL ST",1921,"Tenderloin",3
"2506","155 BRANNAN ST",1989,"Financial District/South Beach",6
"2507","2505 MARIPOSA ST",1923,"Mission",9
"2508","2335 Golden Gate Ave",1921,"Lone Mountain/USF",1
"2509","1111 JUNIPERO SERRA BLVD",1953,"Oceanview/Merced/Ingleside",11
"2510","98 W PORTAL AVE",NA,"West of Twin Peaks",7
"2511","555 JACKSON ST",2005,"Chinatown",3
"2512","301 Toland St",1942,"Bayview Hunters Point",10
"2513","2739 TAYLOR ST",1953,"North Beach",3
"2514","559 SUTTER ST",1921,"Nob Hill",3
"2515","451 MONTGOMERY ST",1907,"Financial District/South Beach",3
"2516","555 9TH ST",1991,"South of Market",6
