Street Address	Business Start Date	Location Start Date	DBA Name
103 Horn St	2017-08-24	2017-12-04	Soul Bowl'z Curbside LLC
318 Kearny St	2017-03-01	2017-03-01	La Flamme
2430 Whipple Rd	2018-01-23	2018-01-23	Wezy
1324 Fitzgerald Ave Unit C	2019-03-06	2019-04-01	Tamalitos Catering
5 S Linden Ave Ste 1	2017-03-26	2017-03-26	Dispatch Market
1 Ferry Building Unit 58	2019-04-19	2022-06-04	Mishka
450 Hayes St	2017-03-23	2017-03-23	A Mano
6101 California St	2017-10-20	2017-10-20	Pearl
420 Judah St	2019-07-19	2019-07-19	Sumo
501 Hayes St	2016-04-26	2021-03-01	Haze
601 Mission Bay N Blvd	2019-06-26	2021-08-27	Reef Kitchens #6
601 Van Ness Ave Ste K	2017-11-09	2017-11-17	Cool Cravings II, LLC
315 Montgomery St 9th Fl	2018-08-23	2019-12-01	California Sweet Chicken
155 12th Street	2016-07-01	2018-01-01	Palette SF
2675 Ocean Avenue	2018-08-01	2018-08-01	Lucho's
709 Offarell St	2019-05-22	2019-05-22	Nicos Sicilia Pizza
2295 Market St	2018-08-01	2018-08-01	The Castro Republic, Inc.
1581 Webster St #150	2017-05-01	2019-06-28	Ichi Sando
135 4th St	2016-09-23	2021-02-01	Rolling Thai
3251 20th Ave	2019-01-18	2019-01-18	Glo-Wing
428 11 Th St	2016-05-04	2018-02-22	Poke Delish
2222 Broadway	2017-06-26	2017-06-27	Sage @ Schools Of The Sacred Heart
4384 Mission St	2016-04-28	2018-12-11	Tacos Los Trinos
475 6th Street St 110	2019-05-08	2019-05-08	Positive Foods
2414 San Bruno	2018-10-01	2018-10-01	Golden State Pizza And Grill
2915 Ogletown Rd	2019-06-17	2019-06-17	Guru Beverage Co.
3251 20th Ave Ste 250c	2017-09-26	2017-09-26	Tenroku Ramen
605 Battery St	2017-11-29	2017-11-29	Hotwok Express
303 Columbus Ave	2016-06-22	2016-06-22	The Baked Bear
1977 Union St #B	2016-05-18	2016-05-18	Globo
1166 Geneva Ave	2018-03-01	2018-03-01	The Broken Record Kitchen
791 O' Farrell St	2018-04-07	2018-04-08	Lucky Pig
734 Alfred Noble Dr	2018-01-23	2018-01-23	The Cheese Steak Shop
846 Bust St Apt 28	2019-03-16	2019-03-16	Sln Ctrng
539 Valencia St	2017-03-20	2017-03-20	Let's Split
1700 A Post St	2016-05-17	2023-06-20	Fermentation Lab
330 Townsend St 101	2018-12-22	2018-12-22	Slices
601 Larkin St	2016-12-27	2016-12-27	Lapats Thai Noodles Bar
475 6th Street St 110	2019-05-08	2019-05-08	Positive Foods
1355 Traval St	2019-09-18	2019-09-18	Karl's Beacon
103 Horne Ave	2017-09-08	2020-05-01	Pye
2077 Hayes St.	2019-12-04	2019-12-04	Hayes Pizza
170 O'farrells St	2017-09-13	2017-09-13	Subway
691 14th St	2017-04-10	2021-06-23	Millay
1196 Folsom St	2018-04-24	2018-04-24	El Capitan
2885 Diamond St	2017-01-01	2017-01-01	Bello Coffee LLC
1 Mobile Caterers	2016-08-31	2019-06-04	Los Colores 709 Inc
4092 18th St	2018-11-19	2018-11-19	Quicky Burgers
24 Willie Mays Pl Promenade Level 2	2016-03-17	2018-03-22	The Organic Coup
40 West Portal Ave	2019-08-01	2019-08-27	Kale Fornia
752 Van Ness	2016-02-29	2016-02-29	Delish Deli
485 Sacramento St	2018-12-12	2019-08-07	Local Food Hall
425 Elis St	2017-12-28	2017-12-28	Kafal
1903 Fillmore St	2016-11-01	2016-11-01	Project Juice
2740 Mission St	2017-10-30	2017-10-30	Pollo Campero
4104 24th St Ste 401	2018-01-30	2018-01-30	Roti
39th Ave	2019-07-17	2019-07-17	Crunchy Cultured Corporation
258 Noe St Unit	2017-01-06	2017-01-09	Flore
103 Horne Ave	2019-10-15	2019-10-15	Eclectic Cookery
50 Fremont St Fl 28/29	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
1608 Bush	2018-03-14	2018-03-14	1608 Bistro
415 Mission St	2019-09-13	2019-09-13	Boutique Crenn
1288 Columbus Ave	2018-06-01	2023-04-20	Rendezvous
88 King St Unit 320	2019-09-01	2019-09-01	Kiss Of Flower
185 Channel St Apt 113	2017-03-01	2018-02-01	Sarka Simanova
205 Frederick St A	2019-07-08	2019-10-31	Bacon Bacon
534 Cordova St	2016-05-12	2016-05-12	Ellas San Francisco
20065 Stevens Creek Blvd C1	2017-08-08	2017-09-08	Oriental Noodles
517 Clement St	2019-10-11	2019-10-11	Mamahuhu
1 Market St	2016-05-31	2016-06-01	Halal Cart SF
3251 20th Ave 250c	2018-10-30	2018-11-09	Ike's Love And Sandwiches
925 Bush St	2018-02-14	2019-01-17	Tbd
410 44th Ave Apt 205	2019-07-30	2019-07-30	Some Salt More Cinnamon
2038 22nd Ave	2017-12-11	2017-12-11	Captain Jack's
3251 Scott St	2019-01-01	2019-01-01	Reed And Greenough
829 Geary St	2018-04-09	2021-10-21	What The Cluck Chicken And Rice
1782 Haight St	2018-04-09	2018-04-09	What The Cluck
3489 16th St	2017-10-14	2017-10-14	U Dessert Story
88 Perry St 322	2017-11-30	2017-11-30	Casablanca Pastry
698 Post St	2017-08-01	2018-01-23	Lapisara Eatery
2293 Mission St	2019-07-01	2020-10-01	El Porteno II Restaurant & Bar
655 Townsend St	2016-07-01	2019-09-10	Aj's
41 Franklin St	2018-12-01	2018-12-01	Nakama Sushi
420 Sw Judah St	2019-08-01	2019-08-01	Sumo
979 Market St	2018-10-17	2018-10-17	Golden Gate Halal Food
1017 L St Unit 749	2019-05-03	2019-05-03	Black Caviar LLC
150 Van Ness Ave 1308	2019-04-28	2019-04-28	The Jabez Foundation
1 Ferry Building 41	2018-07-01	2018-07-01	Brown Sugar Kitchen
1142 Valencia St	2016-01-04	2019-06-19	Deccan House
2663 Mission St	2019-12-09	2019-12-09	Spro Up
4766 Mission St	2018-03-28	2021-03-05	Los Olivos Market
2351 Mission St	2018-04-25	2018-08-06	Nahua Pizza
1000 Guerrero St	2018-05-25	2018-05-25	Pink Shallot
110 Bldg Hunters Pt Shipyard	2017-01-13	2017-01-13	Mama's Homecookin
466 Haight St	2020-01-01	2020-01-01	Nickie's Irish Pub
2200 Bryant St	2020-01-01	2024-01-02	Rasa Rasa Kitchen
2400 Monarch St	2019-02-05	2019-02-05	Greek Table
1780 Bancroft Ave 326 Ave	2017-09-21	2017-09-21	Thanh Thanh Cafe
2531 San Bruno Ave	2017-07-11	2017-10-01	Taqueria Gonzalez
2175 Market St	2016-05-04	2016-05-04	Poke Delish
3077 24th St	2019-08-01	2019-08-01	El Nuevo Frutilandia
5479 Mission St	2016-12-21	2016-12-21	Reina's Restaurant
Avenue N	2018-05-01	2024-01-22	Porchetta Toscana
639 Divisadero St Unit A	2018-03-28	2018-03-28	Fool's Errand
925 Cortland Ave	2017-05-30	2017-06-01	Little Nepal
1705 Mariposa Street	2019-10-26	2019-10-26	Sapporo Usa, Inc. - San Francisco Office
808 Divisadero St	2017-11-01	2017-11-01	Hina Yakitori
508 4th St	2016-04-01	2016-04-01	Coin-Op Game Room
787 Broadway St	2018-10-23	2018-10-23	Holycraft Brewery
103 Horne Ave	2018-08-13	2019-07-22	Zin & Juice
1770 San Jose Ave Apt 9	2016-05-27	2016-05-27	Kahina's 1001 Delights
325 S Maple Ave Ste 23	2019-04-29	2019-04-29	Churreria SF
667 Commercial St	2019-05-15	2020-01-01	Panicha Inc. / Dba Schilling & Co.
2531 Regent St Apt 9	2017-07-20	2017-07-20	Liberation Foods LLC
2040 Chestnut St	2016-10-11	2022-05-05	Sweetgreen
370 Adrian Rd	2017-08-07	2017-08-07	Better 4 You Meals
3318 Roosevelt Ave	2016-11-04	2016-11-04	Adrian's Kitchen
525 Valencia St	2017-02-01	2022-09-01	Krua Thai
443 Madrid St	2018-03-29	2018-03-29	Sohomei, LLC
1942 Mcallister S St 1942	2017-08-21	2017-08-21	Herb'n Vegan
300 De Haro St	2016-10-07	2018-02-14	Bunn Mike
10 Avenue Of The Flags Ave #	2017-07-04	2024-09-12	David Upchurch Chocolatier
4134 Geary Blvd	2016-12-26	2016-12-26	Overtime
2293 Mission St	2019-07-01	2020-08-04	El Porteno 2
205 Franklin St	2017-02-09	2022-01-11	B-Side
748 Valencia St	2018-01-01	2018-01-01	Tacolicious
670 Broadway St	2019-06-01	2019-06-01	V & J Cafe
1688 Bryant St	2019-05-01	2019-05-01	Jade Cafe
1706 Church St	2016-12-01	2016-12-01	Barons Quality Meat & Seafood
1200 Vermont St	2017-12-14	2017-12-14	Vbowls LLC
574 Green St	2016-03-11	2016-03-11	Caffe Sport
3 Embarcadero Ctr Fl 21	2019-10-28	2021-07-30	Cooley Llp 3 Embarcadero Ctr Fl 21
636 636 Fell Street Apt 636	2017-08-15	2017-08-15	Your Community S&P
24 Willie Mays Pl Promenade Level Sec 106	2016-03-17	2018-03-22	The Organic Coup
288 Noe St	2018-01-30	2019-03-11	Roti
1441 Stockton St	2019-08-28	2019-08-28	Cavalli Cafe
1325 9th Ave	2016-10-07	2018-12-26	Asahiru
101 Saint Marys Ave	2018-07-30	2018-07-30	Fog City Cafe
1520 Fillmore St	2019-01-01	2019-01-01	Wise Sons
652 Market St	2018-04-19	2019-02-20	Coco Fresh Tea & Juice
1070 Maryland St	2018-02-13	2024-12-11	Breadbelly
338 Main St 5a	2019-11-15	2020-03-19	Probiotic Labs, Inc.
415 Mission St	2019-09-06	2019-11-08	Sam Choy's Poke To The Max
1355 Market St Ste 180	2019-02-28	2019-05-02	Market Square Studio
555 California St Ste A	2018-02-15	2024-06-13	Launchpad Coffee & Ice Cream
388 Market St Ste 106	2019-01-01	2019-06-14	Nosh Cafe & Catering
2769 Lombard St	2018-01-11	2018-01-11	Pizzeria Avellino
426 Larkin St	2017-07-24	2017-07-24	Hello Sandwich & Noodle
1563 Page St	2016-04-15	2016-08-19	Fare Resources
2847 Forest Creek Ln Ct	2017-09-13	2017-09-13	Subway
101 Spear St Fl 5n/5s	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
3115 Mission St	2019-06-26	2019-09-10	Reef Kitchen #7
553 Divisadero St	2017-02-17	2017-02-17	Namu Stonepot
50 California St	2016-12-19	2017-08-14	Joe & The Juice Nyc LLC
218 Jersey St	2018-07-26	2018-07-26	Thrive Baby Food
1223 Kearny St Apt 1	2017-06-17	2017-06-18	Brotzeit
737 3rd St	2018-06-19	2018-06-19	Naan N Curry Inc
2109 Clement St	2017-01-12	2017-01-12	Delish Dish Kitchen Inc
119 Victoria St	2019-06-06	2019-06-06	Maite Catering, Inc
52 Grove St	2018-03-06	2018-03-06	Bi-Rite Cafe
415 Mission 44	2017-12-27	2019-11-22	Aramark Rfs At Salesforce
768 Sansome St	2019-06-26	2019-06-26	Reef Kitchen #1
525 Market St	2016-12-19	2016-12-19	Joe & The Juice
35 Embarkadero	2017-06-08	2017-06-08	Mai Thai Kitchen
314 Sutter St	2019-01-01	2019-01-01	E&O Kitchen And Bar
3090 26th Avenue	2018-03-23	2018-03-23	Eko Kitchen
101 Horne Ave 1501	2016-10-01	2020-09-23	Sf Chicken Sandos
2170 Mission St	2016-03-29	2016-03-29	Bc Broth LLC
1750 Cesar Chavez St D	2016-11-01	2018-08-26	Barzotto Catering
1730 O Farrell	2018-01-30	2018-08-10	Roti
1123 Folsom St	2019-04-29	2019-04-29	Churreria SF
704 Post St	2018-05-30	2018-05-30	Kkochi Korean Bbq Restaurant
1737 Post St Ste 337	2018-07-04	2018-07-04	Oma San Francisco Station
65 Winfield St	2017-04-01	2017-04-01	Flour Girl Personal Chef
750 Folsom St	2017-11-13	2019-11-14	Hodala Mini
1419 Haight St	2017-06-01	2017-06-01	Kwmt Partnership
1298 Church St	2019-07-24	2019-07-24	Inle Burmese Cuisine
819 Valencia St	2019-03-15	2020-06-01	Sf Chickenbox
4850 Redwood Road Rd	2017-11-28	2017-11-28	Cousins Maine Lobster
1581 Webster St 150	2017-05-01	2017-08-21	Aube
2348 Polk St	2016-04-05	2016-04-05	Lemongrass Thai Cuisine
3416 19th St	2019-01-01	2019-01-01	Lazy Bear
1051 Post St Ste 5	2019-07-01	2019-07-01	Get Prepped Meal Service
356 Richland Ave	2018-01-10	2018-06-01	Bernal Bears
3500 Moraga St	2018-12-27	2018-12-27	Davis Enterprise
2760 Octavia St	2017-06-19	2017-08-08	Toasty
566 Fell St Apt 6	2016-04-29	2016-04-29	Hahdough
509 Haight St	2019-07-30	2019-07-30	Purple Rice
553 Divisadero St	2017-02-17	2021-06-14	Namu Stonepot Dba Sunset Squares Slice Shop
688 Mission St	2018-07-17	2018-07-17	Pizzeria Delfina
771 La Playa St Apt 2	2018-04-03	2018-04-03	Healthy Candy
3251 20th St 250c	2018-10-30	2018-10-30	Ike's Love And Sandwiches
700 Polk St	2019-01-10	2019-01-10	Sun & Garden At Farmhouse Kitchen
1080 Howard St	2018-12-12	2018-12-12	Kiss My Seoul, LLC
620 Gough St	2017-03-02	2017-03-02	Robin
4055 Irving St	2019-09-24	2019-09-24	Palm City
2800 Mission Street	2019-05-07	2019-05-07	Sf Churros El Munchies
3228 Gateland Court	2019-08-27	2019-08-27	Umai Savory Hot Dogs #108
714 Kearny St	2016-07-08	2016-07-08	Bubble Tea 4 You
3400 Geary Blvd	2017-06-01	2017-06-01	Earth's Coffee
498 Alabama St	2017-05-03	2017-06-28	Farmstead
601 Mission Bay N Blvd	2019-07-08	2022-08-02	Bacon Bacon 2
1750 Cesar Chavez Bldg H	2016-10-01	2019-11-21	Zee Cooks / Creperie Saint Germain
3213 Pierce St	2017-05-30	2017-05-30	The Sandwich Spot
2239 Market St	2017-09-30	2017-10-16	Milk On Market
103 Horne Ave	2016-12-16	2021-06-01	Borschmobile
57 Walter U Lum Pl	2018-02-06	2018-02-06	T Bear Cafe
1830 Irving Street	2018-09-05	2018-09-05	Golden Crab House
1474 Fillmore St	2019-12-19	2024-03-21	The Geez Freeze
764 Harrison St	2017-02-21	2017-02-21	Zen Izakaya
112 Cannes Ct	2019-09-03	2019-09-03	Cafe La Tazita
3030 Chapman St	2019-07-30	2019-07-30	The Wooden Spoon Bakery And Cafe
1 United Nations Plaza	2016-10-27	2016-10-27	United Nations Cafe
434 Shotwell St	2019-04-01	2022-02-15	Hedge Coffee
1750 Cesar Chavez Unit D	2018-03-01	2018-06-28	Saffa Home Foods
303 2nd St	2016-12-19	2018-07-05	Joe & The Juice
50 Fremont St Fl 7/8	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
932 Hamilton St	2019-01-07	2019-01-07	City Gal Bakeshop
1490 Ocean Ave Ste 2	2018-08-22	2018-08-22	Celli's Deli
350 Townsend St 817	2018-02-01	2018-02-13	Purva Kitchen
173 Eddy St	2019-07-11	2019-07-11	Nextdish Corporation
983 Valencia St	2016-09-01	2016-09-01	Motze
2125 Bryant St Unit 319	2019-01-16	2019-01-16	Saltry Snacks
900 143rd St	2018-12-19	2018-12-19	Dlb Catering Service
850 Jones St	2016-12-21	2016-12-21	San Francisco Rinse
708 Kearny St	2016-05-04	2018-02-22	Poke Delish
301 Howard St	2016-12-19	2017-03-09	Joe & The Juice
22 Ross Aly	2019-10-03	2019-10-03	By Me Boba Tea
Mission St	2016-12-14	2016-12-14	Mission Brasserie
1500 Owens St Ste 100	2019-01-10	2019-01-10	Oda Restaurant & Brewery
900 Stanyan St	2019-09-29	2019-09-29	Creola
2859 Mission St	2019-07-10	2019-07-10	Il Pollaio
1 United Nations Plaza	2019-08-28	2020-05-27	Cibo Da Strada
383 S Van Ness Ave Apt 2	2017-02-07	2017-02-07	Therapy Bar
163 Jessie St	2018-01-02	2018-01-02	The Cordial
762 Divisadero	2016-05-13	2016-05-13	Fly Bar Divisadero
351 20th Ave	2017-08-11	2018-04-08	Obour Foods, LLC
147 Fulton St #	2018-01-30	2024-05-13	Roti
2791 Cowper St	2018-11-12	2018-11-12	Fire And Brew
799 Valencia St	2019-07-31	2019-07-31	Yasmin
2535 3rd St	2017-10-01	2017-12-01	Daily Driver
131 Steuart St Ste 101	2020-01-01	2020-01-01	Little Saigon Deli
764 Harrison St	2017-02-21	2019-01-04	Soma Sushi
1516 Broadway St	2016-12-05	2016-12-05	Berber Group LLC
800 Cortland Ave	2017-05-26	2018-04-04	Mix Traditions
812 Key Route Blvd	2018-05-08	2019-05-08	Caviar
103 Horne Ave	2017-01-30	2024-10-13	Chefs Work In The Truck
135 4th St Ste Fc7	2016-09-23	2019-06-13	Siam Kitchen
1084 Montgomery Ave	2019-01-07	2019-01-07	Martitas
1 Beach Street Cs East	2016-11-16	2017-01-05	Cup And Cake Cafe
112 Schooner Cove	2019-03-19	2019-03-19	Haley Mcnicoll's Celtic-American Eatery
1310 Noriega St	2017-07-26	2018-11-26	Pho Ga
1 Mobile Caterers	2019-06-26	2019-08-21	Vessel Ca Operations #5
1453 18th St.	2016-07-01	2016-07-01	Mac Daddy
438 Castro A	2018-09-21	2018-09-21	Thailand Restaurant
1700 Post St Unit B	2018-08-01	2018-08-01	Onimomo
450 Mission St Ste B	2016-12-26	2016-12-26	Truck Stop
818 Green Ave Ave	2017-05-30	2017-05-30	Little Nepal
393 West Portal Ave	2019-10-15	2019-10-15	Tre Rosso Lp
1 Mobile Caterers	2019-06-26	2019-08-21	Reef Kitchens
50 Fremont St Fl 32/34	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
576 Haight St	2018-05-01	2018-05-01	Memphis Minnie's Bbq Joint
1501 Cortland	2017-08-11	2017-10-01	Obour Foods, LLC
1351 Church St	2016-07-22	2016-07-22	Love Joy
2380 Lombard St	2019-12-02	2019-12-02	Le Moon Thai Eatery
3251 20th Avenue Ste 186	2019-05-31	2019-08-01	Rooster & Rice
1782 Danesta Dr	2019-05-01	2019-05-01	Food Delivery
2151 Lombard St	2016-09-16	2022-04-08	Ilcha
3 Embarcadero Ctr 3210	2019-08-02	2019-08-02	Pressed
244 Clement St	2018-04-01	2019-02-10	Portside Bakery
17 Skylark Dr Apt 45	2016-08-01	2017-10-22	World Green Salad Sandwich
419 Ofarrell St	2018-01-24	2018-01-24	Marrakech Moroccan Restaurant
838 Jackson St	2018-11-25	2018-11-25	Golden Dragon Market Inc
1220 9th Ave	2018-04-23	2018-04-23	The Korean Kitchen
1123 Folsom St	2017-02-01	2017-05-09	Copyright
740 Market St	2019-03-19	2019-03-19	Cafe Dolci
444 Kansas St	2019-10-15	2019-10-15	Cult Favorite LLC
3520 20th St Ste A	2019-07-25	2019-07-25	Streatalian
428 11th St	2017-01-30	2017-01-30	Chefs Work In The Truck
2209 Polk St	2019-09-01	2019-09-01	Macondray
485 Ofarrell St	2018-03-13	2018-03-13	Marhaba Indian & Pakistani Halal Cuisine
1170 Powell St	2017-05-01	2017-05-01	Keep It Inc.
2365 Chestnut St	2017-11-16	2017-11-16	Wago Sushi
322 Kearny St	2017-07-01	2017-07-01	Sini
3161 24th St	2017-02-28	2019-08-09	Great Gold
1 United Nations Plaza Plz	2017-10-20	2018-02-22	Tun Myanmar
1109 Fillmore St	2018-07-16	2023-01-06	Nepalese Indian Restaurant
1489 N Webster St St Apt 416	2019-03-01	2019-03-01	Cahner's Digital Media
330 Gough St	2016-04-28	2016-04-28	Linden Room
409 Gough St	2018-01-08	2018-01-08	Dobbs Ferry
3768 23rd St	2016-04-21	2016-04-21	Greta's Granola
3627 Mission St	2017-10-20	2017-10-20	Tun Myanmar
108 Carl B	2018-02-24	2018-04-24	Inovino
1851 Noriega St	2018-01-01	2018-01-01	Epic Bites Catering
699 Chenery St	2019-12-19	2019-12-19	Le Ptit Laurent
1415 Quezada Ave	2017-07-11	2017-07-11	Taqueria Gonzalez
1566 Carroll Ave	2019-03-06	2019-03-15	Tamalitos Catering
815 Mission St	2018-12-01	2018-12-01	Tea Bar
2800 Leavenworth St	2017-07-19	2017-07-19	Krispy Kreme Doughnuts
61 Elsie St	2017-09-01	2017-09-01	C & C Culinary Resources LLC
800 Divisadero St	2019-02-13	2019-02-13	Eddie's Cafe
1506 Dell Ave Ste C	2019-09-30	2019-09-30	Andro's Rostilj
832 Clement St	2019-03-30	2019-03-30	Bistro Lovessy, LLC
1315 8th Ave Ave	2016-04-29	2017-08-09	Hahdough
2335 Hyde St 2	2019-11-10	2019-11-10	La Crema
1356 Mason St #1358	2017-09-21	2017-09-21	Altovino
978 Howe Rd	2018-01-01	2018-01-01	San Francisco Naturals
632 20th Street	2016-09-20	2016-09-20	Glena's
393 Bay St	2018-01-04	2018-01-04	There Sushi-Bar & Restaurant
2 Marina Blvd Bldg C	2018-12-17	2018-12-17	Goody Cafe
375 25th Ave Apt 301	2019-01-08	2019-01-08	Code Oats
3910 Geary Blvd	2018-12-14	2021-11-02	3910 Lounge
2575 Judah St	2018-03-14	2018-03-14	Le Trio
1467 Port St	2017-10-12	2017-10-12	Turnt Up Tacos & Tortas, LLC
35539 Mission Bld B	2019-03-15	2019-03-15	Mehfil Indian Cuisine
1190 Mission St Apt 1721	2019-01-05	2019-01-05	Rainbows And Butterflies Bakery
350 Mission St Fl 24/25	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
1434 15th Street	2019-07-18	2019-07-18	Caviar
930 Leavenworth St Apt 4	2016-02-23	2016-02-23	Manitas Cafe & Deli
3251 20th Ave #250e	2016-08-16	2016-08-16	Great Steak And Potato Co
332 Clement St	2018-07-01	2018-07-01	Mokuku
3515 20th St Unit B	2017-04-20	2017-04-20	Our Poke Place
939 Clement St	2018-03-08	2018-03-08	No.1 Sf Bbq
2948 Folsom St	2016-06-13	2016-06-13	La Rica Benny
1 Market St 7n/7se	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
601 Buena Vista West	2017-07-12	2017-07-12	The Fry Guys
111 Golden Gate Park	2017-04-17	2017-04-17	Fun Cakes
626 Broadway St	2018-01-01	2018-01-01	My Canh Restaurant
San Francisco International Airport	2019-04-19	2019-04-19	Green Beans Coffee
2668 San Bruno Ave	2017-10-02	2017-10-02	Sunshine Wheatfield Dim Sum
601 Brickell Key Dr Ste 1000	2019-06-26	2019-08-28	Reef Kitchens
103 Horne Ave	2017-07-31	2017-12-01	Somos Coffee LLC
890 Taraval St	2016-02-22	2016-02-22	Lollipot
1270 47th Ave	2017-04-06	2020-10-01	Mobilize Love
3066 24th Street	2016-12-08	2016-12-08	Big Rec Taproom
2030 Lombard St	2016-06-01	2016-06-01	Pistos Tacos
100 Larkin St	2016-06-06	2016-06-06	Poets Cafe
300 Bay Shore Blvd # A	2019-04-19	2023-01-26	Taqueria El Tizon
475 Sixth St	2016-08-23	2019-04-09	Sweetgreen Soma Cloud Kitchen - K18
1500 S. Van Ness Ave Unit 100	2019-10-25	2019-10-25	Tacos El Patron
1400 Mission St Ste 130	2016-10-07	2016-10-07	Peet's Coffee & Tea
2736 20th St	2019-06-26	2019-06-26	Lost Resort
601 Mission Bay Blvd N	2019-01-08	2019-01-08	Powder
356 Kearny St	2017-12-06	2017-12-19	Udon Underground
207 E 24th St Apt 103	2016-09-16	2023-06-01	Doordash
3914 Judah Ave	2019-10-08	2019-10-08	Spicy Dragon
465 Pine St Ste 1300	2018-08-28	2018-08-28	Guckenheimer Services, LLC @ Atlassian
900 16th St	2017-08-24	2021-07-14	Mediterranean Aroma
130 Townsend St	2018-03-23	2020-08-03	Eko Kitchen
1268 Grant Ave	2019-03-01	2019-03-01	The Showdown
199 New Montgomery St 1407	2016-10-08	2016-10-08	Oven Of My Eye
3251 20th Ave	2018-11-29	2019-01-02	The Chaga Company, LLC
Sixth St	2019-06-27	2019-06-27	Cult Chinese Dumplings
315 Montgomery St Ste F	2018-12-03	2018-12-03	Boys Deli Inc
1605 Jerrold Ave	2018-04-01	2018-05-01	Bayview Beans
1 United Nations Plaza	2019-06-03	2019-06-05	Cabalen Sweet & Savory
4422 4422 Valle Vista	2017-02-13	2017-02-13	Straight Up: Bar And Beverage
248 Collins St	2019-06-07	2019-06-07	Thep Restaurant
1916 Hyde Street St	2019-08-01	2019-09-24	Elephant Sushi
219 King St	2020-01-01	2020-01-01	Bubble Queen
3145 Fillmore St	2019-07-01	2020-09-03	Amore
1310 9th Ave	2017-04-06	2017-04-06	Bon Kimchi
293 Bayshore Blvd	2016-06-01	2016-06-01	Tine Foods
846 Geary St	2017-12-11	2018-02-09	Papi's SF
350 Bush St Ste 200	2018-06-04	2018-07-05	Guckenheimer @ Twitch Breakroom Floors 2, 4, 5
2045 Irving St	2017-09-15	2017-09-15	Super Pan & Tea
21150 Nunes Ave	2017-01-08	2017-01-08	Kaze Kumo
1408 Taraval St	2016-10-12	2016-10-12	One +
4166 24th St	2019-04-07	2019-04-07	Bon Appetikka
1419 Haight St	2017-06-01	2018-01-19	People's Bistro
36 Elm St	2019-01-03	2019-01-03	Sarah's Latin Taste, LLC
1476 Haight St Bldg	2018-02-20	2018-02-20	Bing & Boba
244 Clement St	2019-03-15	2023-07-19	Aim Clement Street Farmers Market
30 Pueblo St	2019-02-26	2019-02-26	Nancy's Catering
201 Franklin Street	2017-12-01	2017-12-01	Salt Partners
57 Walter U Lum Pl	2018-11-01	2018-11-01	Yu's Cafe
24 Patton St Apt 1	2017-08-10	2017-08-10	La Boquita Kitchen
3334 Sacramento St	2019-04-19	2019-04-19	Mishka
2200 Jerrold Ave Unit C	2017-04-17	2017-04-17	Mrs. Grizzly's
1 Mobile Caterers	2018-11-21	2018-11-26	333 Truck
994 Polk St	2018-03-30	2018-03-30	Green Delight LLC
601 Brickell Key Dr Ste 1000	2019-06-26	2019-08-28	Vessel Ca Operations (#5)
3465 19th St	2016-11-18	2016-11-18	Media Noche
1355 Willard St 4	2016-10-26	2017-02-08	Aj's
1503 North Point St	2018-01-01	2018-01-01	Marina Round Table Pizza
2499 Lombard St	2017-01-01	2017-01-01	Original Buffalo Wings
50 Fremont St Fl 3n/4	2017-12-27	2019-03-14	Aramark Rfs At Salesforce
555 Buena Vista W Ave Apt 101	2018-07-04	2018-07-04	Unrestricted
1125 Stockton St	2017-07-17	2017-07-17	New Wing Sing Bakery LLC
2760 Octavia St	2019-03-30	2022-02-01	Echigo Home Cook
648 Pacific Ave	2016-03-01	2018-02-16	Yin Du Wonton Noodle LLC
2937 24th St	2018-11-02	2018-11-02	Cinderella Bakery & Cafe-The Mission
428 11th St	2019-07-08	2019-07-08	Bacon Bacon
1431 Jackson St Ste 304	2019-01-01	2019-01-01	Eyasu Negassi
855 Terry Francois St	2019-01-01	2019-04-26	The Ramp
1247 Stockton St	2017-02-01	2017-02-01	New Moon Restaurant
1109 Filmore Street St	2018-07-01	2018-07-01	Kebab King
667 Monterey Blvd	2018-03-29	2018-03-29	Pho Dong Houng1
2154 Mission St	2019-05-01	2019-05-01	West Coast Boba
1939 Ocean Ave Ave	2017-07-06	2017-07-06	Kaisen Don
1 Mobile Caterers	2016-05-19	2018-04-01	The Huge Hotdog Concession
393 Eddy St	2018-02-05	2018-07-31	Chicken Broaster Express
768 Geary St	2019-11-18	2019-11-18	Geary Club
497 Verducci Dr	2018-08-09	2018-08-09	Sabor Catracho
1760 Cesar Chavez Ste L	2019-08-22	2024-05-17	Lavash Food Inc.
764 Harrison St	2017-02-21	2019-07-01	Donburi Ya
154 Mcallister St	2016-09-06	2016-09-06	Breaking Bread Sandwiches
302 Broderick St	2016-05-23	2019-02-13	Rt Rotisserie
2404 Lincoln Ave	2017-11-04	2017-11-04	Cardel Catering, Ltd
1185 Market St	2017-06-22	2022-01-04	Kikka At Whole Foods Trinity
2277 Shafter Ave	2017-07-11	2017-07-11	Bonito Poke
322 Connecticut St	2019-09-02	2019-09-02	Spincake
2430 Whipple Rd	2017-08-29	2017-10-23	Cardona's Food Truck
22 4th St Ste 100	2019-07-01	2019-07-01	Enough Tea And Coffee
